,"Barens Inc.
113 Meadow Rd, Seneca, PA 16346
4075 Arcadia Lane, Fort Mohave, AZ ",,
Preferred Client Pricing,,,
,, PriceCode , PriceCode 
StockCode,Description, P , *C (Case Qty) 
1171,BRASS HOSE BARB 1/2 HOSE X 1/2 MPT, $2.94 ,  
1172,BRASS HOSE BARB 1/2 HOSE X 3/8 MPT, $2.34 ,  
1173,BRASS HOSE BARB 1/2 HOSE X 1/4 MPT, $1.55 ,  
1174,(300)BRASS HOSE BARB 3/8 HOSE X 1/2 MPT, $3.35 , $3.18 
1175,BRASS HOSE BARB 3/8 HOSE X 3/8 MPT, $1.98 ,  
1176,BRASS HOSE BARB 3/8 HOSE X 1/4 MPT, $1.87 ,  
1177,BRASS HOSE BARB 1/4 HOSE X 1/2 MPT, $2.66 ,  
1181,BRASS HOSE BARB 1/4 HOSE X 3/8 MPT, $1.63 ,  
1184,BRASS HOSE BARB 1/4 HOSE X 1/4 MPT, $1.98 ,  
1185,ROTOMAX REPAIR KIT 190040, $28.05 ,  
1187,1981801 SPRING, $1.48 ,  
1188,1982240 BALL, $1.27 ,  
1189,GP SOCKET HEAD SCREW FOR SLIDE HAMMER, $3.76 ,  
1190,1/8 MEG 4005 WASHJET SPRAY NOZZLE, $5.34 ,  
1191,"O-RING BUNA-N FOR 3/8"" QC SOCKETS", $0.52 ,  
1197,BRASS 1/4 VEEJET 4020 SOAPER NOZZLE, $3.02 ,  
1201,3000 PSI 3/8x50' WHITEWATER HOSE, $184.01 ,  
1202,"4500 PSI 3/8""x8' WHIP LINE M/MS", $36.08 ,  
1203,"4500 PSI 3/8""x6' WHIP LINE M/MS", $30.74 ,  
1204,"4500 PSI 3/8""x4' WHIP LINE M/MS", $24.63 ,  
1207,"4500 PSI 3/8""x50' BLACK NEPTUNE HOSE", $144.79 ,  
1210,"O-RING BUNA-N FOR 1/4"" QC SOCKETS", $0.38 ,  
1214,"BURNER MOTOR 120V/60HZ, 1/5HP, 3450RPM", $161.18 ,  
1215,SUNTEC R642NL 115V SOLENOID VALVE, $58.81 ,  
1220,K7.0 UNLOADER 2.1-3.0 GPM 3500PSI, $135.31 ,  
1222,49948 CAT DIP STICK, $16.94 ,  
1241,"ZGR0750 RS99 2.4 TO 1 GEAR REDUCER FOR 3/4"" SHAFTE", $318.63 ,  
1247,34063 KIT SLEEVE & SEAL NBR 4SF, $241.23 ,  
1249,(50)SUTTNER ST-6 FLOW SWITCH 8GPM 4380PSI, $42.05 , $39.83 
1252,"WOOD HANDLE W/PLASTIC THREADS,15/16""x60""", $9.09 ,  
1270,ROBOKIM REPAIR KIT #190000, $6.77 ,  
1274,1420430 CERAMIC PISTON 20mmx13mmx45mm, $49.89 ,  
1275,BRASS 1/4 VEEJET 6540 SOAPER NOZZLE, $3.02 ,  
1281,"QC PLUG 1/2"" MPT BRASS", $3.22 ,  
1282,PA ADJUSTABLE NOZZLE HOLDER 1/4 FPT I/O, $11.47 ,  
1285,WEIGHTED PLASTIC CHEMICAL STRAINER W/CHECK VALVE, $2.45 ,  
