Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
,HANDLE SET FOR 85.403.003 UPPER AND LOWER HANDLES. NLA,HANDLE SET FOR 85.403.003 UPPER AND LOWER HANDLES. NLA,Regular,,85.792.008K,HANDLE SET FOR 85.403.003 UPPER AND LOWER HANDLES. NLA,BE > Equipment,BE,,,,777897267341,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,211.00,BE,85.792.008K,,,,,,,,,,,,
,"POLYPROPYLENE 16"" COVER FOR 85.403.003 WAW","POLYPROPYLENE 16"" COVER FOR 85.403.003 WAW",Regular,,BE-POLYPROPYLENE-16-COVER-FOR-85-40,"POLYPROPYLENE 16"" COVER FOR 85.403.003 WAW",BE > Equipment,BE,,,,777897241013,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,23.00,BE,85.792.009,,,,,,,,,,,,
,"BRUSH 16"" FOR 85.403.003 WAW","BRUSH 16"" FOR 85.403.003 WAW",Regular,,BE-BRUSH-16-FOR-85-403-003-WAW,"BRUSH 16"" FOR 85.403.003 WAW",BE > Equipment,BE,,,,777897241020,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,78.00,BE,85.792.010,,,,,,,,,,,,
,"16"" ROTARY ARM FOR 85.403.003 WAW","16"" ROTARY ARM FOR 85.403.003 WAW",Regular,,BE-16-ROTARY-ARM-FOR-85-403-003-WAW,"16"" ROTARY ARM FOR 85.403.003 WAW",BE > Equipment,BE,,,,777897241372,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,23.00,BE,85.792.011,,,,,,,,,,,,
,"COVER FOR 20"" SS FOR WAW 85.403.009","COVER FOR 20"" SS FOR WAW 85.403.009",Regular,,85.792.012,"COVER FOR 20"" SS FOR WAW 85.403.009",BE > Equipment,BE,,,,777897269123,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,245.00,BE,85.792.012,,,,,,,,,,,,
,"BRUSH SKIRT FOR 20"" SS FOR WAW 85.403.009","BRUSH SKIRT FOR 20"" SS FOR WAW 85.403.009",Regular,,85.792.013,"BRUSH SKIRT FOR 20"" SS FOR WAW 85.403.009",BE > Equipment,BE,,,,777897256703,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,97.00,BE,85.792.013,,,,,,,,,,,,
,"COVER FOR 24"" SS FOR WAW 85.403.010","COVER FOR 24"" SS FOR WAW 85.403.010",Regular,,85.792.014,"COVER FOR 24"" SS FOR WAW 85.403.010",BE > Equipment,BE,,,,777897269116,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,283.00,BE,85.792.014,,,,,,,,,,,,
,"BRUSH SKIRT FOR 24"" SS FOR WAW 85.403.010","BRUSH SKIRT FOR 24"" SS FOR WAW 85.403.010",Regular,,85.792.015,"BRUSH SKIRT FOR 24"" SS FOR WAW 85.403.010",BE > Equipment,BE,,,,777897256710,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,113.00,BE,85.792.015,,,,,,,,,,,,
,"ROTARY ARM FOR 24"" SS FOR WAW 85.403.010","ROTARY ARM FOR 24"" SS FOR WAW 85.403.010",Regular,,BE-ROTARY-ARM-FOR-24-SS-FOR-WAW-85,"ROTARY ARM FOR 24"" SS FOR WAW 85.403.010",BE > Equipment,BE,,,,777897256536,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,96.00,BE,85.792.016,,,,,,,,,,,,
,"ROTARY ARM FOR 20"" SS FOR WAW 85.403.009","ROTARY ARM FOR 20"" SS FOR WAW 85.403.009",Regular,,85.792.017,"ROTARY ARM FOR 20"" SS FOR WAW 85.403.009",BE > Equipment,BE,,,,777897256529,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,80.00,BE,85.792.017,,,,,,,,,,,,
,"UPPER HANDLE 20"" & 24"" SS FOR WAW 85.403.009/85.403.010. NLA","UPPER HANDLE 20"" & 24"" SS FOR WAW 85.403.009/85.403.010. NLA",Regular,,85.792.018,"UPPER HANDLE 20"" & 24"" SS FOR WAW 85.403.009/85.403.010. NLA",BE > Equipment,BE,,,,777897256727,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,108.00,BE,85.792.018,,,,,,,,,,,,
,"HANDLE SET FOR SS WAW FOR 85.403.009, 010, 015. NLA","HANDLE SET FOR SS WAW FOR 85.403.009, 010, 015. NLA",Regular,,85.792.018K,"HANDLE SET FOR SS WAW FOR 85.403.009, 010, 015. NLA",BE > Equipment,BE,,,,777897267334,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,267.00,BE,85.792.018K,,,,,,,,,,,,
,"BRUSH SKIRT FOR 14"" WAW FOR 85.403.014 WAW","BRUSH SKIRT FOR 14"" WAW FOR 85.403.014 WAW",Regular,,85.792.037,"BRUSH SKIRT FOR 14"" WAW FOR 85.403.014 WAW",BE > Equipment,BE,,,,777897257366,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,15.79,BE,85.792.037,,,,,,,,,,,,
,"ROTARY ARM, 3-WAY, 292mm FOR 85.403.010, 85.403.016","ROTARY ARM, 3-WAY, 292mm FOR 85.403.010, 85.403.016",Regular,,BE-ROTARY-ARM-3-WAY-292MM-FOR-85-40,"ROTARY ARM, 3-WAY, 292mm FOR 85.403.010, 85.403.016",BE > Equipment,BE,,,,777987369412,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,98.00,BE,85.792.038,,,,,,,,,,,,
,"SET (4), CASTERS FOR 30"" SS WAW FOR 85.403.031 & 85.403.032","SET (4), CASTERS FOR 30"" SS WAW FOR 85.403.031 & 85.403.032",Regular,,85.792.046,"SET (4), CASTERS FOR 30"" SS WAW FOR 85.403.031 & 85.403.032",BE > Equipment,BE,,,,777897291902,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,134.00,BE,85.792.046,,,,,,,,,,,,
,"BRUSH SKIRT W/ HRDWR-30""SS WAW FOR 85.403.031 & 85.403.032. NLA","BRUSH SKIRT W/ HRDWR-30""SS WAW FOR 85.403.031 & 85.403.032. NLA",Regular,,85.792.047,"BRUSH SKIRT W/ HRDWR-30""SS WAW FOR 85.403.031 & 85.403.032. NLA",BE > Equipment,BE,,,,777897291889,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,178.00,BE,85.792.047,,,,,,,,,,,,
,"COVER FOR 30"" WAW FOR 85.403.031 & 85.403.032. NLA","COVER FOR 30"" WAW FOR 85.403.031 & 85.403.032. NLA",Regular,,85.792.059,"COVER FOR 30"" WAW FOR 85.403.031 & 85.403.032. NLA",BE > Equipment,BE,,,,777897291896,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,566.00,BE,85.792.059,,,,,,,,,,,,
,"GUN FIXTURE ASSY; FOR 30"" WAW FITS 85.403.030, 031, & 032","GUN FIXTURE ASSY; FOR 30"" WAW FITS 85.403.030, 031, & 032",Regular,,85.792.061,"GUN FIXTURE ASSY; FOR 30"" WAW FITS 85.403.030, 031, & 032",BE > Equipment,BE,,,,777897301120,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,54.00,BE,85.792.061,,,,,,,,,,,,
,"CASTER BRACKETS & HRDWR 30"" WAW 85.403.031 & 85.403.032 30"" WAW","CASTER BRACKETS & HRDWR 30"" WAW 85.403.031 & 85.403.032 30"" WAW",Regular,,85.792.100,"CASTER BRACKETS & HRDWR 30"" WAW 85.403.031 & 85.403.032 30"" WAW",BE > Equipment,BE,,,,777897291919,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,99.00,BE,85.792.100,,,,,,,,,,,,
,"ROTARY ARMS 85.403.031 & 85.403.032-30"" WA","ROTARY ARMS 85.403.031 & 85.403.032-30"" WA",Regular,,BE-ROTARY-ARMS-85-403-031-85-403-03,"ROTARY ARMS 85.403.031 & 85.403.032-30"" WA",BE > Equipment,BE,,,,777897291926,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,191.00,BE,85.792.101,,,,,,,,,,,,
,"WATER BROOM & KIT 30"" SS WAW 85.403.031 - 30"" WAW","WATER BROOM & KIT 30"" SS WAW 85.403.031 - 30"" WAW",Regular,,85.792.102,"WATER BROOM & KIT 30"" SS WAW 85.403.031 - 30"" WAW",BE > Equipment,BE,,,,777897291933,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,124.00,BE,85.792.102,,,,,,,,,,,,
,"HANDLE KIT - 30"" WAW FOR 85.403.031. NLA","HANDLE KIT - 30"" WAW FOR 85.403.031. NLA",Regular,,85.792.103,"HANDLE KIT - 30"" WAW FOR 85.403.031. NLA",BE > Equipment,BE,,,,777897291940,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,512.00,BE,85.792.103,,,,,,,,,,,,
,"HANDLE BRACKET - 30"" WAW FOR 85.403.031 & 85.403.032. NLA","HANDLE BRACKET - 30"" WAW FOR 85.403.031 & 85.403.032. NLA",Regular,,85.792.104,"HANDLE BRACKET - 30"" WAW FOR 85.403.031 & 85.403.032. NLA",BE > Equipment,BE,,,,777897291957,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,86.00,BE,85.792.104,,,,,,,,,,,,
,"HANDLE KIT - 30"" WAW FOR 85.403.032","HANDLE KIT - 30"" WAW FOR 85.403.032",Regular,,85.792.107,"HANDLE KIT - 30"" WAW FOR 85.403.032",BE > Equipment,BE,,,,777897291995,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,485.00,BE,85.792.107,,,,,,,,,,,,
,"CASTERS & BRACKETS SET FOR 85.403.011 20"" YLLW WAW","CASTERS & BRACKETS SET FOR 85.403.011 20"" YLLW WAW",Regular,,85.793.016,"CASTERS & BRACKETS SET FOR 85.403.011 20"" YLLW WAW",BE > Equipment,BE,,,,777897267389,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,130.00,BE,85.793.016,,,,,,,,,,,,
,"RACK, UNIT DISPLAY BLK, STEEL","RACK, UNIT DISPLAY BLK, STEEL",Regular,,85.900.005B,"RACK, UNIT DISPLAY BLK, STEEL",BE > Equipment,BE,,,,777897169263,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,1890.00,BE,85.900.005B,,,,,,,,,,,,
,"RACK,STEEL - WATER PUMP NLA","RACK,STEEL - WATER PUMP NLA",Regular,,85.900.008,"RACK,STEEL - WATER PUMP NLA",BE > Equipment,BE,,,,777897214659,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,539.00,BE,85.900.008,,,,,,,,,,,,
,"IGNITER COIL, DHS354P SERIAL NUMBERS BEFORE 15074024","IGNITER COIL, DHS354P SERIAL NUMBERS BEFORE 15074024",Regular,,8500191,"IGNITER COIL, DHS354P SERIAL NUMBERS BEFORE 15074024",BE > Equipment,BE,,,,777897161083,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,194.00,BE,8500191,,,,,,,,,,,,
,"TRANSFORMER IGNITER 240V, DBG203/254/304","TRANSFORMER IGNITER 240V, DBG203/254/304",Regular,,8500223,"TRANSFORMER IGNITER 240V, DBG203/254/304",BE > Equipment,BE,,,,777897161069,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,161.00,BE,8500223,,,,,,,,,,,,
