Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
,304SS HOSE BARB 1/4 HOSE X 1/4 MPT,304SS HOSE BARB 1/4 HOSE X 1/4 MPT,Regular,,5197,304SS HOSE BARB 1/4 HOSE X 1/4 MPT,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,8.58,Barrens,5197,,,,,,,,,,,,
,304SS HOSE BARB 3/8 HOSE X 3/8 MPT,304SS HOSE BARB 3/8 HOSE X 3/8 MPT,Regular,,5198,304SS HOSE BARB 3/8 HOSE X 3/8 MPT,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,9.09,Barrens,5198,,,,,,,,,,,,
,(200)304SS HOSE BARB 1/2 HOSE X 1/2 MPT,(200)304SS HOSE BARB 1/2 HOSE X 1/2 MPT,Regular,,5199,(200)304SS HOSE BARB 1/2 HOSE X 1/2 MPT,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,15.14,Barrens,5199,,,,,,,,,,,,
,304SS HEX NIPPLE 1/4 MPT 150#,304SS HEX NIPPLE 1/4 MPT 150#,Regular,,5200,304SS HEX NIPPLE 1/4 MPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,7.40,Barrens,5200,,,,,,,,,,,,
,304SS HEX NIPPLE 3/8 MPT 150#,304SS HEX NIPPLE 3/8 MPT 150#,Regular,,5201,304SS HEX NIPPLE 3/8 MPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,6.43,Barrens,5201,,,,,,,,,,,,
,304SS HEX NIPPLE 1/2 MPT 150#,304SS HEX NIPPLE 1/2 MPT 150#,Regular,,5202,304SS HEX NIPPLE 1/2 MPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,7.40,Barrens,5202,,,,,,,,,,,,
,304SS HEX BUSHING 3/8MPT X 1/4FPT 150#,304SS HEX BUSHING 3/8MPT X 1/4FPT 150#,Regular,,5203,304SS HEX BUSHING 3/8MPT X 1/4FPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,4.29,Barrens,5203,,,,,,,,,,,,
,(60)304SS HEX BUSHING 1/2MPT X 3/8FPT 150#,(60)304SS HEX BUSHING 1/2MPT X 3/8FPT 150#,Regular,,5204,(60)304SS HEX BUSHING 1/2MPT X 3/8FPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,7.27,Barrens,5204,,,,,,,,,,,,
,304SS ELBOW 1/4 FPT 150#,304SS ELBOW 1/4 FPT 150#,Regular,,5205,304SS ELBOW 1/4 FPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,5.99,Barrens,5205,,,,,,,,,,,,
,304SS ELBOW 3/8 FPT 150#,304SS ELBOW 3/8 FPT 150#,Regular,,5206,304SS ELBOW 3/8 FPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,7.02,Barrens,5206,,,,,,,,,,,,
,304SS ELBOW 1/2 FPT 150#,304SS ELBOW 1/2 FPT 150#,Regular,,5207,304SS ELBOW 1/2 FPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,7.90,Barrens,5207,,,,,,,,,,,,
,304SS ST. ELBOW 1/4 NPT 150#,304SS ST. ELBOW 1/4 NPT 150#,Regular,,5208,304SS ST. ELBOW 1/4 NPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,7.86,Barrens,5208,,,,,,,,,,,,
,304SS ST. ELBOW 3/8 FPT X MPT 150#,304SS ST. ELBOW 3/8 FPT X MPT 150#,Regular,,5209,304SS ST. ELBOW 3/8 FPT X MPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,9.68,Barrens,5209,,,,,,,,,,,,
,304SS ST. ELBOW 1/2 NPT 150#,304SS ST. ELBOW 1/2 NPT 150#,Regular,,5210,304SS ST. ELBOW 1/2 NPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,11.14,Barrens,5210,,,,,,,,,,,,
,304SS TEE 1/4FPT X 1/4FPT X 1/4FP 150#,304SS TEE 1/4FPT X 1/4FPT X 1/4FP 150#,Regular,,5211,304SS TEE 1/4FPT X 1/4FPT X 1/4FP 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,7.40,Barrens,5211,,,,,,,,,,,,
,304SS TEE 3/8FPT X 3/8FPT X 3/8FPT 150#,304SS TEE 3/8FPT X 3/8FPT X 3/8FPT 150#,Regular,,5212,304SS TEE 3/8FPT X 3/8FPT X 3/8FPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,9.51,Barrens,5212,,,,,,,,,,,,
,304SS TEE 1/2FPT X 1/2FPT X 1/2FPT 150#,304SS TEE 1/2FPT X 1/2FPT X 1/2FPT 150#,Regular,,5213,304SS TEE 1/2FPT X 1/2FPT X 1/2FPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,9.88,Barrens,5213,,,,,,,,,,,,
,304SS COUPLER 1/4 FPT 150#,304SS COUPLER 1/4 FPT 150#,Regular,,5214,304SS COUPLER 1/4 FPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,4.88,Barrens,5214,,,,,,,,,,,,
,304SS COUPLER 3/8 FPT 150#,304SS COUPLER 3/8 FPT 150#,Regular,,5215,304SS COUPLER 3/8 FPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,6.21,Barrens,5215,,,,,,,,,,,,
,304SS COUPLER 1/2 FPT 150#,304SS COUPLER 1/2 FPT 150#,Regular,,5216,304SS COUPLER 1/2 FPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,6.72,Barrens,5216,,,,,,,,,,,,
,304SS HEX HEAD PLUG 1/4 MPT 150#,304SS HEX HEAD PLUG 1/4 MPT 150#,Regular,,5217,304SS HEX HEAD PLUG 1/4 MPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.36,Barrens,5217,,,,,,,,,,,,
,304SS HEX HEAD PLUG 3/8 MPT 150#,304SS HEX HEAD PLUG 3/8 MPT 150#,Regular,,5218,304SS HEX HEAD PLUG 3/8 MPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.80,Barrens,5218,,,,,,,,,,,,
,304SS HEX HEAD PLUG 1/2 MPT 150#,304SS HEX HEAD PLUG 1/2 MPT 150#,Regular,,5219,304SS HEX HEAD PLUG 1/2 MPT 150#,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,5.86,Barrens,5219,,,,,,,,,,,,
,"304SS NIPPLE 1/4"" X CLOSE SCH. 40","304SS NIPPLE 1/4"" X CLOSE SCH. 40",Regular,,5220,"304SS NIPPLE 1/4"" X CLOSE SCH. 40",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,2.64,Barrens,5220,,,,,,,,,,,,
,"304SS NIPPLE 1/4"" X 1.5"" SCH. 40","304SS NIPPLE 1/4"" X 1.5"" SCH. 40",Regular,,5221,"304SS NIPPLE 1/4"" X 1.5"" SCH. 40",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.05,Barrens,5221,,,,,,,,,,,,
,"304SS NIPPLE 3/8"" X CLOSE SCH.40","304SS NIPPLE 3/8"" X CLOSE SCH.40",Regular,,5222,"304SS NIPPLE 3/8"" X CLOSE SCH.40",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.08,Barrens,5222,,,,,,,,,,,,
,"304SS NIPPLE 3/8"" X 1.5"" SCH. 40","304SS NIPPLE 3/8"" X 1.5"" SCH. 40",Regular,,5223,"304SS NIPPLE 3/8"" X 1.5"" SCH. 40",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,4.12,Barrens,5223,,,,,,,,,,,,
,"304SS NIPPLE 1/2"" X CLOSE SCH. 40","304SS NIPPLE 1/2"" X CLOSE SCH. 40",Regular,,5224,"304SS NIPPLE 1/2"" X CLOSE SCH. 40",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.78,Barrens,5224,,,,,,,,,,,,
,"304SS NIPPLE 1/2"" X 1.5"" SCH. 40","304SS NIPPLE 1/2"" X 1.5"" SCH. 40",Regular,,5225,"304SS NIPPLE 1/2"" X 1.5"" SCH. 40",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,4.43,Barrens,5225,,,,,,,,,,,,
,KIT 167 PACKING ASSY 18mm (1 CYL),KIT 167 PACKING ASSY 18mm (1 CYL),Regular,,5226,KIT 167 PACKING ASSY 18mm (1 CYL),Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,59.38,Barrens,5226,,,,,,,,,,,,
,QC 1506 YELLOW NOZZLE,QC 1506 YELLOW NOZZLE,Regular,,5228,QC 1506 YELLOW NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5228,,,,,,,,,,,,
,"4500 PSI 3/8""x25' BLUE NEPTUNE HOSE","4500 PSI 3/8""x25' BLUE NEPTUNE HOSE",Regular,,5230,"4500 PSI 3/8""x25' BLUE NEPTUNE HOSE",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,85.77,Barrens,5230,,,,,,,,,,,,
,U.M.R. KIT VRT3-250 FOR PUMPS UP TO 3650PSI WITH 1,U.M.R. KIT VRT3-250 FOR PUMPS UP TO 3650PSI WITH 1,Regular,,5233,U.M.R. KIT VRT3-250 FOR PUMPS UP TO 3650PSI WITH 1,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,68.79,Barrens,5233,,,,,,,,,,,,
,(200)QC 2503 GREEN NOZZLE,(200)QC 2503 GREEN NOZZLE,Regular,,5236,(200)QC 2503 GREEN NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5236,,,,,,,,,,,,
,(500)QC 25035 GREEN NOZZLE,(500)QC 25035 GREEN NOZZLE,Regular,,5237,(500)QC 25035 GREEN NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5237,,,,,,,,,,,,
,(200)QC 2504 GREEN NOZZLE,(200)QC 2504 GREEN NOZZLE,Regular,,5239,(200)QC 2504 GREEN NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5239,,,,,,,,,,,,
,QC 25045 GREEN NOZZLE,QC 25045 GREEN NOZZLE,Regular,,5240,QC 25045 GREEN NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5240,,,,,,,,,,,,
,(200)QC 2505 GREEN NOZZLE,(200)QC 2505 GREEN NOZZLE,Regular,,5241,(200)QC 2505 GREEN NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5241,,,,,,,,,,,,
,QC 25055 GREEN NOZZLE,QC 25055 GREEN NOZZLE,Regular,,5245,QC 25055 GREEN NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5245,,,,,,,,,,,,
,"21404U BLOWER WHEEL, 12V A/AF BECKETT","21404U BLOWER WHEEL, 12V A/AF BECKETT",Regular,,5246,"21404U BLOWER WHEEL, 12V A/AF BECKETT",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,24.74,Barrens,5246,,,,,,,,,,,,
,10001-01079 KIT HP SEAL KIT,10001-01079 KIT HP SEAL KIT,Regular,,5247,10001-01079 KIT HP SEAL KIT,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,100.50,Barrens,5247,,,,,,,,,,,,
,(500)QC 2506 GREEN NOZZLE,(500)QC 2506 GREEN NOZZLE,Regular,,5248,(500)QC 2506 GREEN NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5248,,,,,,,,,,,,
,DS ONLY - BALDOR EM3770T 7.5HP 3 PHASE 1760RPM,DS ONLY - BALDOR EM3770T 7.5HP 3 PHASE 1760RPM,Regular,,5251,DS ONLY - BALDOR EM3770T 7.5HP 3 PHASE 1760RPM,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,884.54,Barrens,5251,,,,,,,,,,,,
,DS ONLY - BALDOR EM3774T 10HP 3 PHASE 1760RPM,DS ONLY - BALDOR EM3774T 10HP 3 PHASE 1760RPM,Regular,,5252,DS ONLY - BALDOR EM3774T 10HP 3 PHASE 1760RPM,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,992.16,Barrens,5252,,,,,,,,,,,,
,ST-457 3.0 TURBO NOZZLE 6000 PSI 212 DEG YELLOW,ST-457 3.0 TURBO NOZZLE 6000 PSI 212 DEG YELLOW,Regular,,5253,ST-457 3.0 TURBO NOZZLE 6000 PSI 212 DEG YELLOW,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,109.38,Barrens,5253,,,,,,,,,,,,
,ST-457 3.5 TURBO NOZZLE 6000 PSI 212 DEG VIOLET,ST-457 3.5 TURBO NOZZLE 6000 PSI 212 DEG VIOLET,Regular,,5254,ST-457 3.5 TURBO NOZZLE 6000 PSI 212 DEG VIOLET,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,109.38,Barrens,5254,,,,,,,,,,,,
,REPAIR KIT FOR ST-457 3.0 TURBO NOZZLE,REPAIR KIT FOR ST-457 3.0 TURBO NOZZLE,Regular,,5255,REPAIR KIT FOR ST-457 3.0 TURBO NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,53.24,Barrens,5255,,,,,,,,,,,,
,103073 PILOT VALVE ASSY. FOR 100879 FLOW SWITCH,103073 PILOT VALVE ASSY. FOR 100879 FLOW SWITCH,Regular,,5257,103073 PILOT VALVE ASSY. FOR 100879 FLOW SWITCH,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,16.62,Barrens,5257,,,,,,,,,,,,
,10001-01104 PISTON SEAL KIT ZW 15mm,10001-01104 PISTON SEAL KIT ZW 15mm,Regular,,5259,10001-01104 PISTON SEAL KIT ZW 15mm,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,58.62,Barrens,5259,,,,,,,,,,,,
,5019.0065.00 OIL SEAL KIT ZWD SERIES,5019.0065.00 OIL SEAL KIT ZWD SERIES,Regular,,5260,5019.0065.00 OIL SEAL KIT ZWD SERIES,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,32.73,Barrens,5260,,,,,,,,,,,,
,9138 PLUNGER PACKING KIT HR SERIES,9138 PLUNGER PACKING KIT HR SERIES,Regular,,5262,9138 PLUNGER PACKING KIT HR SERIES,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,36.70,Barrens,5262,,,,,,,,,,,,
,GP QC 00035 RED NOZZLE,GP QC 00035 RED NOZZLE,Regular,,5263,GP QC 00035 RED NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5263,,,,,,,,,,,,
,GP QC 15035 YELLOW NOZZLE,GP QC 15035 YELLOW NOZZLE,Regular,,5264,GP QC 15035 YELLOW NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5264,,,,,,,,,,,,
,GP QC 25035 GREEN NOZZLE,GP QC 25035 GREEN NOZZLE,Regular,,5265,GP QC 25035 GREEN NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5265,,,,,,,,,,,,
,GP QC 40035 WHITE NOZZLE,GP QC 40035 WHITE NOZZLE,Regular,,5266,GP QC 40035 WHITE NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5266,,,,,,,,,,,,
,GP 1/4 MPT 1502 SPRAY NOZZLE,GP 1/4 MPT 1502 SPRAY NOZZLE,Regular,,5267,GP 1/4 MPT 1502 SPRAY NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5267,,,,,,,,,,,,
,GP 1/4 MPT 2502 SPRAY NOZZLE,GP 1/4 MPT 2502 SPRAY NOZZLE,Regular,,5268,GP 1/4 MPT 2502 SPRAY NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5268,,,,,,,,,,,,
,GP 1/4 MPT 4002 SPRAY NOZZLE,GP 1/4 MPT 4002 SPRAY NOZZLE,Regular,,5269,GP 1/4 MPT 4002 SPRAY NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5269,,,,,,,,,,,,
,"M.M.R. TEFC 1.5HP 3450RPM C-FACED 5/8"" WIRED WITH","M.M.R. TEFC 1.5HP 3450RPM C-FACED 5/8"" WIRED WITH",Regular,,5270,"M.M.R. TEFC 1.5HP 3450RPM C-FACED 5/8"" WIRED WITH",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,524.81,Barrens,5270,,,,,,,,,,,,
,QC 4003 WHITE NOZZLE,QC 4003 WHITE NOZZLE,Regular,,5271,QC 4003 WHITE NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5271,,,,,,,,,,,,
,8702.10 PUMP RAILS FOR P SERIES STD,8702.10 PUMP RAILS FOR P SERIES STD,Regular,,5272,8702.10 PUMP RAILS FOR P SERIES STD,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,26.95,Barrens,5272,,,,,,,,,,,,
,81.905 MOSMATIC DUCT CLEANER HOOK,81.905 MOSMATIC DUCT CLEANER HOOK,Regular,,5273,81.905 MOSMATIC DUCT CLEANER HOOK,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,28.34,Barrens,5273,,,,,,,,,,,,
,"STEEL 45 STREET ELBOW 3/4"", 2000 PSI","STEEL 45 STREET ELBOW 3/4"", 2000 PSI",Regular,,5274,"STEEL 45 STREET ELBOW 3/4"", 2000 PSI",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,10.00,Barrens,5274,,,,,,,,,,,,
,QC 40035 WHITE NOZZLE,QC 40035 WHITE NOZZLE,Regular,,5275,QC 40035 WHITE NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5275,,,,,,,,,,,,
,KIT 2121 VR 3/B MOUNTING BOLTS FOR 20992/21669,KIT 2121 VR 3/B MOUNTING BOLTS FOR 20992/21669,Regular,,5276,KIT 2121 VR 3/B MOUNTING BOLTS FOR 20992/21669,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,15.74,Barrens,5276,,,,,,,,,,,,
,(200)QC 4004 WHITE NOZZLE,(200)QC 4004 WHITE NOZZLE,Regular,,5277,(200)QC 4004 WHITE NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5277,,,,,,,,,,,,
,P.M.R. TT2035EBF-VRT3-160 W/THERMAL RELIEF,P.M.R. TT2035EBF-VRT3-160 W/THERMAL RELIEF,Regular,,5278,P.M.R. TT2035EBF-VRT3-160 W/THERMAL RELIEF,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,421.47,Barrens,5278,,,,,,,,,,,,
,"3000 PSI 1/4""x50' BLUE NEPTUNE HOSE","3000 PSI 1/4""x50' BLUE NEPTUNE HOSE",Regular,,5279,"3000 PSI 1/4""x50' BLUE NEPTUNE HOSE",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,107.18,Barrens,5279,,,,,,,,,,,,
,"3000 PSI 1/4""x100' BLUE NEPTUNE HOSE","3000 PSI 1/4""x100' BLUE NEPTUNE HOSE",Regular,,5280,"3000 PSI 1/4""x100' BLUE NEPTUNE HOSE",Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,211.67,Barrens,5280,,,,,,,,,,,,
,1/4 MEG 1525 WASHJET SPRAY NOZZLE,1/4 MEG 1525 WASHJET SPRAY NOZZLE,Regular,,5281,1/4 MEG 1525 WASHJET SPRAY NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,5.39,Barrens,5281,,,,,,,,,,,,
,#7 ORIFICE FOR X-JET NOZZLES,#7 ORIFICE FOR X-JET NOZZLES,Regular,,5282,#7 ORIFICE FOR X-JET NOZZLES,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,17.01,Barrens,5282,,,,,,,,,,,,
,QC 40045 WHITE NOZZLE,QC 40045 WHITE NOZZLE,Regular,,5283,QC 40045 WHITE NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5283,,,,,,,,,,,,
,(200)QC 4005 WHITE NOZZLE,(200)QC 4005 WHITE NOZZLE,Regular,,5284,(200)QC 4005 WHITE NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5284,,,,,,,,,,,,
,QC 40055 WHITE NOZZLE,QC 40055 WHITE NOZZLE,Regular,,5285,QC 40055 WHITE NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.34,Barrens,5285,,,,,,,,,,,,
,GP QC 6540 BLACK SOAPER NOZZLE,GP QC 6540 BLACK SOAPER NOZZLE,Regular,,5287,GP QC 6540 BLACK SOAPER NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5287,,,,,,,,,,,,
,GP QC 1503 YELLOW NOZZLE,GP QC 1503 YELLOW NOZZLE,Regular,,5288,GP QC 1503 YELLOW NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5288,,,,,,,,,,,,
,GP QC 15065 YELLOW NOZZLE,GP QC 15065 YELLOW NOZZLE,Regular,,5289,GP QC 15065 YELLOW NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5289,,,,,,,,,,,,
,GP QC 1507 YELLOW NOZZLE,GP QC 1507 YELLOW NOZZLE,Regular,,5290,GP QC 1507 YELLOW NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5290,,,,,,,,,,,,
,GP QC 2503 GREEN NOZZLE,GP QC 2503 GREEN NOZZLE,Regular,,5291,GP QC 2503 GREEN NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5291,,,,,,,,,,,,
,GP QC 25065 GREEN NOZZLE,GP QC 25065 GREEN NOZZLE,Regular,,5292,GP QC 25065 GREEN NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5292,,,,,,,,,,,,
,GP QC 2507 GREEN NOZZLE,GP QC 2507 GREEN NOZZLE,Regular,,5293,GP QC 2507 GREEN NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5293,,,,,,,,,,,,
,GP QC 4003 WHITE NOZZLE,GP QC 4003 WHITE NOZZLE,Regular,,5294,GP QC 4003 WHITE NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5294,,,,,,,,,,,,
,GP QC 40065 WHITE NOZZLE,GP QC 40065 WHITE NOZZLE,Regular,,5295,GP QC 40065 WHITE NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5295,,,,,,,,,,,,
,GP QC 4007 WHITE NOZZLE,GP QC 4007 WHITE NOZZLE,Regular,,5296,GP QC 4007 WHITE NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5296,,,,,,,,,,,,
,GP QC 0003 RED NOZZLE,GP QC 0003 RED NOZZLE,Regular,,5297,GP QC 0003 RED NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5297,,,,,,,,,,,,
,GP QC 00065 RED NOZZLE,GP QC 00065 RED NOZZLE,Regular,,5298,GP QC 00065 RED NOZZLE,Barrens,Barrens,,,,,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,3.71,Barrens,5298,,,,,,,,,,,,
