Row Number,SKU,Item Name,Image Filename,Local Image Absolute Path,Status
75,63018,1/2 x 1/4 Hex Bushing,63018.png,C:\Codex\AZCS Inventory\Images\Tucker images\63018.png,copied
76,62005,1/2 x 3/8 PTF Tee,62005.png,C:\Codex\AZCS Inventory\Images\Tucker images\62005.png,copied
77,62007,1/2 Y Divider,62007.png,C:\Codex\AZCS Inventory\Images\Tucker images\62007.png,copied
78,62051,"1/2"" male NPT x 1/2"" PTF swiveling Elbow",62051.png,C:\Codex\AZCS Inventory\Images\Tucker images\62051.png,copied
79,63045,"1/2"" X 1/2"" Brass RISER",63045.png,C:\Codex\AZCS Inventory\Images\Tucker images\63045.png,copied
80,62001-M,1/2in stem x 1/2in ptf metal ELBOW,62001-M.png,C:\Codex\AZCS Inventory\Images\Tucker images\62001-M.png,copied
81,62001,1/2in stem x 1/2in ptf Plastic ELBOW,62001.png,C:\Codex\AZCS Inventory\Images\Tucker images\62001.png,copied
82,63028,1/2in Brass Threaded Coupling,63028.png,C:\Codex\AZCS Inventory\Images\Tucker images\63028.png,copied
83,62010,1/2in male thread x 1/2in PTF Elbow,62010.png,C:\Codex\AZCS Inventory\Images\Tucker images\62010.png,copied
84,21010,1/2in O-Ring for RO Membranes,21010.png,C:\Codex\AZCS Inventory\Images\Tucker images\21010.png,copied
85,63031,1/2in Stem x 3/8in Barb 45 deg,63031.png,C:\Codex\AZCS Inventory\Images\Tucker images\63031.png,copied
86,63029,1/2in x 3/8in Brass Face Bushing,63029.png,C:\Codex\AZCS Inventory\Images\Tucker images\63029.png,copied
87,63013,1/2x1/2x1/2 Stem Union T-Black,63013.png,C:\Codex\AZCS Inventory\Images\Tucker images\63013.png,copied
88,63015,1/2x1/2x1/4 Tube Union Tee-Black,63015.png,C:\Codex\AZCS Inventory\Images\Tucker images\63015.png,copied
89,62056,"1/4""M x 5/16"" PTF",62056.png,C:\Codex\AZCS Inventory\Images\Tucker images\62056.png,copied
90,SORBO-S1269,"10"" Quicksilver Channel 90 degree w/ end clips",SORBO-S1269.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\SORBO-S1269.jpeg,copied
91,12015,12 volt waterproof rocker switch,12015.png,C:\Codex\AZCS Inventory\Images\Tucker images\12015.png,copied
92,SORBO-S1277,"14"" Quicksilver Channel 40 degree w/ end clips",SORBO-S1277.png,C:\Codex\AZCS Inventory\Images\Tucker images\SORBO-S1277.png,copied
93,ECO-15-BARE,15' ECO BARE POLE (no tips included),ECO-15-BARE.png,C:\Codex\AZCS Inventory\Images\Tucker images\ECO-15-BARE.png,copied
94,T-3/8-150-YL,150 foot Yellow 3/8 Hose with Garden Hose Fittings,,,missing
95,V16X2,"16"" x 2"" Velcro Strip (Single strip)",V16X2.png,C:\Codex\AZCS Inventory\Images\Tucker images\V16X2.png,copied
96,SORBO-S1285,"18"" Quicksilver Channel 40 degree w/ end clips",SORBO-S1285.png,C:\Codex\AZCS Inventory\Images\Tucker images\SORBO-S1285.png,copied
97,11031-STEEL,1in Square Plastic Plug for Steel Frame,11031-STEEL.png,C:\Codex\AZCS Inventory\Images\Tucker images\11031-STEEL.png,copied
98,ECO-40-EXT,2 Piece Ext Kit w/ Sec ECO-6 and ECO-7,ECO-40-EXT.png,C:\Codex\AZCS Inventory\Images\Tucker images\ECO-40-EXT.png,copied
99,ECO-50-EXT,2 Piece Ext Kit w/ Sec ECO-8 and ECO-9,ECO-50-EXT.png,C:\Codex\AZCS Inventory\Images\Tucker images\ECO-50-EXT.png,copied
100,ECO-MINI-EXT,2 Piece Extension for ECO-MINI,ECO-MINI-EXT.png,C:\Codex\AZCS Inventory\Images\Tucker images\ECO-MINI-EXT.png,copied
101,T-LOCT-UGK,2 piece kit for upgrading to Loct System,T-LOCT-UGK.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-LOCT-UGK.jpeg,copied
102,V10X2,"2""x10"" Velcro Strip (Single strip)",V10X2.png,C:\Codex\AZCS Inventory\Images\Tucker images\V10X2.png,copied
103,20026,2.5in x 10in Carbon Filter,20026.png,C:\Codex\AZCS Inventory\Images\Tucker images\20026.png,copied
104,20026-CK,2.5in x 10in Carbon Filter / Chloramine Killer,20026-CK.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\20026-CK.jpeg,copied
105,20047-CLR,2.5in x 10in CLEAR Housing w/ 1/2in inlets,20047-CLR.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\20047-CLR.jpeg,copied
106,TUCKER-2-5IN-X-10IN-SEDIMENT-FILTER,2.5in x 10in Sediment Filter,20025.png,C:\Codex\AZCS Inventory\Images\Tucker images\20025.png,copied
107,20025/26,2.5in x 10in Sediment/Carbon Filter,,,missing
108,20051,21in Filter Insert (EMPTY),20051.png,C:\Codex\AZCS Inventory\Images\Tucker images\20051.png,copied
109,20025-3,3 pack of filters for hydrocart,20025-3.png,C:\Codex\AZCS Inventory\Images\Tucker images\20025-3.png,copied
110,62029,3 way Valve - SmartWash,62029.png,C:\Codex\AZCS Inventory\Images\Tucker images\62029.png,copied
111,63027,3/4 FNPTx 3/4 FGHT Brass Swivel,63027.png,C:\Codex\AZCS Inventory\Images\Tucker images\63027.png,copied
112,63024,3/4 x 1/2 Reducer Bushing,63024.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\63024.jpeg,copied
