vendor,sku,vendor_code,item_name,image_relative_path,image_absolute_path,match_type,source_folder,details
MPWSR,SOLUTION48,Solution 48,"48"" Surface cleaner by Sidewalk Solutions (Ships from Mfg)",Images\Manatee images\Solution #48 Surface Cleaner.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Solution #48 Surface Cleaner.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Solution #48 Surface Cleaner.
MPWSR,SOLUTION60,Solution 60,"60"" Surface cleaner by Sidewalk Solutions (Ships from Mfg)",Images\Manatee images\Solution #60 Surface Cleaner.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Solution #60 Surface Cleaner.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Solution #60 Surface Cleaner.
MPWSR,SRK350,SRK350,Band Set for 200 Gal Tank,Images\Manatee images\Band Set for 200 Gallon Tank.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Band Set for 200 Gallon Tank.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Band Set for 200 Gallon Tank.
MPWSR,SRK400,SRK400,Band set for 50 gallon poly tank (2 bands),Images\Manatee images\Band set for 50 gallon poly tank (2 bands).jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Band set for 50 gallon poly tank (2 bands).jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Band set for 50 gallon poly tank (2 bands).
MPWSR,SRMW22G26-EZ,SRMW22G26-EZ,Vertical Pump RMW2.2G26 Front Outlet 318644,Images\Manatee images\RMW22G26-EZ Pump 2.2Gpm 2400Psi Front Outlet.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\RMW22G26-EZ Pump 2.2Gpm 2400Psi Front Outlet.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from RMW22G26-EZ Pump 2.2Gpm 2400Psi Front Outlet.
MPWSR,SRMW22G26-EZ-SX,SRMW22G26-EZ-SX,Vertical Pump RMW2.2G26 Rear Outlet 318643,Images\Manatee images\RMW22G26-EZ-SX(B) 2.2GPM 2400PSI Rear Outlet.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\RMW22G26-EZ-SX(B) 2.2GPM 2400PSI Rear Outlet.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from RMW22G26-EZ-SX(B) 2.2GPM 2400PSI Rear Outlet.
MPWSR,SS5404-16-12,SS 5404-16-12,"1"" to 3/4"" reducing nipple SS",Images\Manatee images\1 to 34 reducing nipple SS.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\1 to 34 reducing nipple SS.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from 1"" to 3/4"" reducing nipple SS."
MPWSR,ST-66,ST-66,ST-66 Duel Metering Valve,Images\Manatee images\ST-66 Duel Metering Valve.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\ST-66 Duel Metering Valve.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from ST-66 Duel Metering Valve.
MPWSR,ST-7,ST-7,ST-7 Flow Switch,Images\Manatee images\ST-7 Flow Switch.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\ST-7 Flow Switch.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from ST-7 Flow Switch.
MPWSR,ST6040,ST6040,Hoops Bands for 325 poly tank need 2 per tank,Images\Manatee images\Hoops Bands for 325 poly tank need 2 per tank.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Hoops Bands for 325 poly tank need 2 per tank.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Hoops Bands for 325 poly tank need 2 per tank.
MPWSR,ST6210,ST6210,Hoops Bands for 525 poly tank need 2 per tank,Images\Manatee images\Hoops Bands for 525 poly tank need 2 per tank.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Hoops Bands for 525 poly tank need 2 per tank.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Hoops Bands for 525 poly tank need 2 per tank.
MPWSR,ST6210A,ST6210A,Leg Band Set for 535 Gal LegTank,Images\Manatee images\Leg Band Set for 535 Gal LegTank.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Leg Band Set for 535 Gal LegTank.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Leg Band Set for 535 Gal LegTank.
