Matched Master SKU,Matched Item Name,Default Vendor Name,Reporting Category,Catalog Price,Default Unit Cost,Sales Lines,Distinct Sales Items,Quantity Sold,Gross Sales,Discounts,Net Sales,Average Realized Unit Price,First Sale Date,Last Sale Date,Sales Categories Observed,Match Types
4580,SUPER SWIVEL REPAIR KIT FOR 3/8 & 1/2 INLINE & 90,Barrens,Barrens,,11.87,3,1,3,56.00,0.00,56.00,18.67,2025-07-16,2025-12-30,Parts,exact_sku
6012,ROTOJET 4500 PSI 3.5 NOZZLE,Barrens,Barrens,,58.41,1,1,1,55.50,0.00,55.50,55.50,2025-05-06,2025-05-06,Parts,exact_sku
D10126,3/8 Plug x 1/2 Thread Stainless Steel Fitting,MPWSR,MPWSR,11.99,6.09,1,1,4,54.00,0.00,54.00,13.50,2025-12-04,2025-12-04,Manatee,exact_sku
1820,General Pump Quick Connect 25° 5.5 Green Pressure Washer Nozzle,Barrens,Barrens,,3.71,3,1,7,52.50,0.00,52.50,7.50,2025-04-26,2025-12-17,Parts,exact_sku
20066,"4 x 30"" Filter Cartridge - Refillable",Tucker,Tucker,57.87,40.51,1,1,1,51.64,0.00,51.64,51.64,2025-09-18,2025-09-18,Tucker,exact_sku
RAMP208-WHIP-10,"RAMPAGE BEAST Smooth Gray 1/2"" Double Wire 6200 PSI Whip hoses - 10' hose",MPWSR,MPWSR,51.50,31.50,1,1,1,51.50,0.00,51.50,51.50,2025-11-11,2025-11-11,Manatee,exact_sku
3943,THERMOSTAT ADJUSTABLE 86-302F 4000PSI 16(4)A-380V,Barrens,Barrens,,27.26,1,1,1,51.50,0.00,51.50,51.50,2025-05-08,2025-05-08,Parts,exact_sku
3305,"10"" SOFT ORANGE WASH BRUSH FOR ACID CLEANING",Barrens,Barrens,,15.95,2,1,2,51.50,0.00,51.50,25.75,2025-09-04,2026-01-14,Tools,exact_sku
RAMP206-WHIP-6,"RAMPAGE BEAST Smooth Gray 3/8"" Double Wire 7300 PSI Whip hose - 6'",MPWSR,MPWSR,28.25,17.50,2,1,2,56.50,-5.24,51.26,25.63,2025-08-27,2025-08-28,Manatee,exact_sku
7065,"(50)GP CLEAR BOWL WATER FILTER 1/2"" I/O 50 MESH",Barrens,Barrens,,11.06,2,1,2,50.00,0.00,50.00,25.00,2025-09-12,2025-10-23,Parts,exact_code
T-OTT-STD-V2,Tucker® Over the Top Rinse Bar Small - Plastic,Tucker,Tucker,50.49,35.34,1,1,1,49.69,0.00,49.69,49.69,2025-10-31,2025-10-31,Tucker,exact_sku
63014,Union for Pole Tubing,Tucker,Tucker,5.47,3.83,4,1,6,48.36,-0.21,48.15,8.02,2025-04-10,2025-11-26,Tucker,exact_sku
6244,"PA BRASS SWIVEL 3/8"" M/F 4050 PSI",Barrens,Barrens,,15.23,2,1,2,46.34,0.00,46.34,23.17,2025-05-16,2025-10-02,Parts,exact_sku
71100,Ettore BackFlip Combination Squeege and Washer Brass 10 inch,JRacenstein,JRacenstein,65.13,32.57,1,1,1,45.20,0.00,45.20,45.20,2025-08-01,2025-08-01,Tools,exact_gtin
1687,1/4 MEG 15° 2.5 WASHJET SPRAY NOZZLE - 15025,Barrens,Barrens,,5.39,2,1,6,45.00,0.00,45.00,7.50,2025-05-10,2025-10-27,Parts,exact_sku
3235,1/4 MEG 40° 2.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,,5.39,1,1,4,40.00,0.00,40.00,10.00,2026-01-28,2026-01-28,Parts,exact_sku
1104,1/4 MEG 40° 4.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,,5.39,1,1,4,40.00,0.00,40.00,10.00,2026-01-28,2026-01-28,Parts,exact_sku
