"VariantBase","ItemName","Action","KeptSku","SKU","Vendor","Price","DefaultUnitCost"
"SECTION HMW CLAMP","#6 Section for 50HMw/ clamp","DROP","T-50-HM-8-WC","T-50-HM-6-WC","Tucker","264.31","185.02"
"SECTION HMW CLAMP","#7 Section for 50HMw/ clamp","DROP","T-50-HM-8-WC","T-50-HM-7-WC","Tucker","275.56","192.90"
"SECTION JUNIORW CLAMP","#2 Section for Juniorw/ clamp","KEEP","T-15-HY-2-WC","T-15-HY-2-WC","Tucker","81.24","56.87"
"SECTION JUNIORW CLAMP","#1 Section for Juniorw/ clamp","DROP","T-15-HY-2-WC","T-15-HY-1-WC","Tucker","75.37","52.76"
"SECTION SIDEKICKW CLAMP","#2 Section for SIDEKICKw/ Clamp","KEEP","T-12-FG-2-WC","T-12-FG-2-WC","Tucker","60.24","42.17"
"SECTION SIDEKICKW CLAMP","#1 Section for SIDEKICKw/ Clamp","DROP","T-12-FG-2-WC","T-12-FG-1-WC","Tucker","59.37","41.56"
"SECTION SOLAR BOOSTW CLAMP","#6 Section for SOLAR BOOSTw/ Clamp","KEEP","T-27-CF-6-WC","T-27-CF-6-WC","Tucker","143.67","100.57"
"SECTION SOLAR BOOSTW CLAMP","#1 Section for SOLAR BOOSTw/ Clamp","DROP","T-27-CF-6-WC","T-27-CF-1-WC","Tucker","105.37","73.76"
"SECTION SOLAR BOOSTW CLAMP","#2 Section for SOLAR BOOSTw/ Clamp","DROP","T-27-CF-6-WC","T-27-CF-2-WC","Tucker","111.24","77.87"
"SECTION SOLAR BOOSTW CLAMP","#3 Section for SOLAR BOOSTw/ Clamp","DROP","T-27-CF-6-WC","T-27-CF-3-WC","Tucker","121.68","85.18"
"SECTION SOLAR BOOSTW CLAMP","#4 Section for SOLAR BOOSTw/ Clamp","DROP","T-27-CF-6-WC","T-27-CF-4-WC","Tucker","124.47","87.13"
"SECTION SOLAR BOOSTW CLAMP","#5 Section for SOLAR BOOSTw/ Clamp","DROP","T-27-CF-6-WC","T-27-CF-5-WC","Tucker","137.08","95.96"
"SET FLANGES R","SET (2) 20"" FLANGES R2 3/8"" 350'-450'","KEEP","3444","3444","Barrens","16.99","11.81"
"SET FLANGES R","SET (2) 16"" FLANGES R1 3/8"" 250'- 500'","DROP","3444","3341","Barrens","10.99","7.18"
"SET INTAKE EXHAUST VALVES GX","SET INTAKE & EXHAUST VALVES GX340-390","KEEP","3863","3863","Barrens","22.99","15.99"
"SET INTAKE EXHAUST VALVES GX","SET INTAKE & EXHAUST VALVES GX160-200","DROP","3863","3851","Barrens","10.99","7.56"
"SET O HOSE NOZZLE GUN LANCE","SET, #5.5 w/o HOSE 055 NOZZLE, 055 GUN, 056 LANCE","KEEP","85.455.200","85.455.200","BE","92.99","71.00"
"SET O HOSE NOZZLE GUN LANCE","SET, #35. W/O HOSE 035 NOZZLE, 055 GUN, 056 LANCE","DROP","85.455.200","85.435.200","BE","74.99","57.00"
"SET O HOSE NOZZLE GUN LANCE","SET, #4.5 w/o HOSE 045 NOZZLE, 055 GUN, 056 LANCE","DROP","85.455.200","85.445.200","BE","90.99","70.00"
"SET OUTLET BE PS","SET (2+1), OUTLET FOR BE4200PS","KEEP","85.574.033","85.574.033","BE","31.99","23.00"
"SET OUTLET BE PS","SET, OUTLET FOR BE3500PS","DROP","85.574.033","85.573.034","BE","31.99","23.00"
"SET PRESSURE WASHER ACC NZZL LANCE HOSE","SET, PRESSURE WASHER ACC. 030 NZZL, 3/8"" LANCE, 25' HOSE","KEEP","85.430.326","85.430.326","BE","164.99","119.00"
"SET PRESSURE WASHER ACC NZZL LANCE HOSE","SET, PRESSURE WASHER ACC. 025 NZZL, 3/8"" LANCE, 25' HOSE","DROP","85.430.326","85.425.327","BE","132.99","94.00"
"SEWER HOSE X PSI DEG F","SEWER HOSE 1/4x100' 4350PSI 212 DEG F","KEEP","6215","6215","Barrens","224.99","172.16"
"SEWER HOSE X PSI DEG F","SEWER HOSE 1/8x50' 2900PSI 140 DEG F","DROP","6215","2560","Barrens","69.99","52.63"
"SEWER HOSE X PSI DEG F","SEWER HOSE 1/8x100' 2900PSI 140 DEG F","DROP","6215","2561","Barrens","115.99","88.06"
"SEWER HOSE X PSI DEG F","SEWER HOSE 1/4x50' 4350PSI 212 DEG F","DROP","6215","6217","Barrens","113.99","86.63"
"SH BUSHING","SH-1 Bushing 1""","KEEP","SH-1","SH-1","MPWSR","22.81","18.55"
"SH BUSHING","SH 1 1/8"" BUSHING","DROP","SH-1","3031","Barrens","19.60","29.01"
"SHURFLO PSI V","(6)8000-813-238 SHURFLO 1.6GPM 100PSI 115V","KEEP","6203","6203","Barrens","259.99","202.24"
"SHURFLO PSI V","(6)8000-443-236 SHURFLO 1.8GPM 60PSI 12V","DROP","6203","3095","Barrens","164.99","126.08"
"SHURFLO PSI V","(6)8000-543-238 SHURFLO 1.6GPM 100PSI 12V","DROP","6203","6751","Barrens","184.99","140.97"
"SKID MOUNT V TUCKER HOSE REEL","Skid Mount (110v) Kit w/ Tucker 40 and Hose Reel","KEEP","10700-WALL-110-KIT-40","10700-WALL-110-KIT-40","Tucker","6529.66","4570.76"
"SKID MOUNT V TUCKER HOSE REEL","Skid Mount (12v) Kit w/ Tucker 40 and Hose Reel","DROP","10700-WALL-110-KIT-40","10700-WALL-12-KIT-40","Tucker","6423.93","4496.75"
"SLIDE PIN CLIP","SLIDE PIN W/ CLIP, 2 1/4""","KEEP","85.419.102","85.419.102","BE","6.99","4.72"
"SLIDE PIN CLIP","SLIDE PIN W/ CLIP, 2 5/8""","DROP","85.419.102","85.419.103","BE","6.99","4.72"
"SOLAR ALPHA HONEY BADGER","Solar Alpha 32 Honey Badger","KEEP","T-32ALPHA-SOLAR-HB","T-32ALPHA-SOLAR-HB","Tucker","469.99","328.99"
"SOLAR ALPHA HONEY BADGER","Solar Alpha 20 Honey Badger","DROP","T-32ALPHA-SOLAR-HB","T-20ALPHA-SOLAR-HB","Tucker","393.65","275.56"
"SORBO COBRA","Sorbo Cobra 30""","KEEP","Z064935","Z064935","","30.75","16.90"
"SORBO COBRA","Sorbo Cobra 8""","DROP","Z064935","3453379","","10.75","6.70"
"SORBO COBRA","Sorbo Cobra 24""","DROP","Z064935","3831596","","24.75","12.85"
"SORBO COBRA","Sorbo Cobra 12""","DROP","Z064935","8243098","","12.75","6.95"
"SORBO COBRA","Sorbo Cobra 10""","DROP","Z064935","F206319","","10.75","6.75"
"SORBO COBRA","Sorbo Cobra 14""","DROP","Z064935","K084082","","14.75","7.85"
"SORBO COBRA","Sorbo Cobra 18""","DROP","Z064935","P592226","","18.75","9.00"
"SORBO EXTENSION POLE SECTION","Sorbo 14ft Extension Pole 3 Section","KEEP","C342019","C342019","","65.99","52.80"
"SORBO EXTENSION POLE SECTION","Sorbo 8 ft Extension Pole 2 Section","DROP","C342019","7837928","","36.99","29.60"
"SORBO FIXED T BAR","Sorbo 18"" Fixed T-Bar","KEEP","828252P","828252P","","22.75",""
"SORBO FIXED T BAR","Sorbo 14"" Fixed T-Bar","DROP","828252P","238547Y","","14.50",""
"SORBO FIXED T BAR","Sorbo 6"" Fixed T-Bar","DROP","828252P","283243S","","9.50",""
"SORBO RUBBER SOFT","Sorbo 18"" Rubber - Soft","KEEP","SORBO-1503","SORBO-1503","Tucker","4.81","3.37"
"SORBO RUBBER SOFT","Sorbo 6"" Rubber - Soft","DROP","SORBO-1503","SORBO-1485","Tucker","2.21","1.55"
"SORBO RUBBER SOFT","Sorbo 10"" Rubber - Soft","DROP","SORBO-1503","SORBO-1491","Tucker","3.35","2.35"
"SORBO RUBBER SOFT","Sorbo 14"" Rubber - Soft","DROP","SORBO-1503","SORBO-1497","Tucker","4.13","2.90"
"SORBO VIPER CHANNEL","Sorbo 24"" Viper Channel","KEEP","9346039","9346039","","26.50","15.35"
"SORBO VIPER CHANNEL","Sorbo 14"" Viper Channel","DROP","9346039","513086B","","16.50","10.60"
"SORBO VIPER CHANNEL","Sorbo 18"" Viper Channel","DROP","9346039","F646391","","20.50","14.90"
"SORBO WASHER SLEEVE","Sorbo Washer Sleeve 14""","KEEP","W345058","W345058","","18.50","11.10"
"SORBO WASHER SLEEVE","Sorbo Washer Sleeve 6""","DROP","W345058","N795755","","9.50",""
"SORBO WASHER T BAR ONLY ALUMINUM TUBING FIXED","Sorbo 6"" Washer T-Bar Only - Aluminum Tubing (Fixed)","KEEP","SORBO-1956F","SORBO-1956F","Tucker","21.32","14.93"
"SORBO WASHER T BAR ONLY ALUMINUM TUBING FIXED","Sorbo 14"" Washer T-Bar Only - Aluminum Tubing (Fixed)","DROP","SORBO-1956F","SORBO-1961F","Tucker","12.10","8.47"
"SORBO WASHER T BAR ONLY ALUMINUM TUBING FIXED","Sorbo 18"" Washer T-Bar Only - Aluminum Tubing (Fixed)","DROP","SORBO-1956F","SORBO-1962F","Tucker","13.13","9.20"
"SORBO WASHER T BAR ONLY ALUMINUM TUBING SWIVEL","Sorbo 18"" Washer T-Bar Only - Aluminum Tubing (Swivel)","KEEP","SORBO-1962","SORBO-1962","Tucker","20.83","14.58"
"SORBO WASHER T BAR ONLY ALUMINUM TUBING SWIVEL","Sorbo 6"" Washer T-Bar Only - Aluminum Tubing (Swivel)","DROP","SORBO-1962","SORBO-1956","Tucker","17.59","12.31"
"SORBO WASHER T BAR ONLY ALUMINUM TUBING SWIVEL","Sorbo 14"" Washer T-Bar Only - Aluminum Tubing (Swivel)","DROP","SORBO-1962","SORBO-1961","Tucker","19.75","13.83"
"SORBO YELLOW JACKET WASHER SLEEVE BRASS SNAPS","Sorbo 18"" Yellow Jacket Washer Sleeve w/ Brass Snaps","KEEP","SORBO-3004","SORBO-3004","Tucker","18.89","13.23"
"SORBO YELLOW JACKET WASHER SLEEVE BRASS SNAPS","Sorbo 6"" Yellow Jacket Washer Sleeve w/ Brass Snaps","DROP","SORBO-3004","SORBO-3001","Tucker","11.29","7.90"
"SORBO YELLOW JACKET WASHER SLEEVE FULL LENGTH VELCRO CLOSURE","Sorbo 18"" Yellow Jacket Washer Sleeve w/ Full length Velcro Closure","KEEP","SORBO-3010","SORBO-3010","Tucker","16.87","11.81"
"SORBO YELLOW JACKET WASHER SLEEVE FULL LENGTH VELCRO CLOSURE","Sorbo 14"" Yellow Jacket Washer Sleeve w/ Full length Velcro Closure","DROP","SORBO-3010","SORBO-3009","Tucker","14.17","9.92"
"SPRAYING SYSTEMS TPU BRASS UNIJET SPRAY TIP","Spraying Systems TPU6505 Brass Unijet Spray Tip .057""","KEEP","329735Y","329735Y","","5.50","2.76"
"SPRAYING SYSTEMS TPU BRASS UNIJET SPRAY TIP","Spraying Systems TPU6506 Brass Unijet Spray Tip .062""","DROP","329735Y","535593N","","5.50","2.76"
"SPRAYING SYSTEMS TPU BRASS UNIJET SPRAY TIP","Spraying Systems TPU6510 Brass Unijet Spray Tip .078""","DROP","329735Y","687868E","","5.50","2.76"
"SPRAYING SYSTEMS TPU BRASS UNIJET SPRAY TIP","Spraying Systems TPU6507 Brass Unijet Spray Tip .067""","DROP","329735Y","7484609","","5.50","2.76"
"SPRAYING SYSTEMS TPU BRASS UNIJET SPRAY TIP","Spraying Systems TPU6503 Brass Unijet Spray Tip .043""","DROP","329735Y","951710F","","5.50","2.75"
"SPRAYING SYSTEMS TPU BRASS UNIJET SPRAY TIP","Spraying Systems TPU6504 Brass Unijet Spray Tip .052""","DROP","329735Y","Q316095","","5.50","2.75"
"SPRING","94743600 SPRING","KEEP","4261","4261","Barrens","9.99","6.86"
"SPRING","1981801 SPRING","DROP","4261","1187","Barrens","3.99","1.48"
"SPRING","SPRING","DROP","4261","1802018000","BE","3.99","1.58"
"SPRING","1560520 SPRING","DROP","4261","2897","Barrens","2.99","0.58"
"SPRING","1560140 SPRING","DROP","4261","3165","Barrens","3.99","1.89"
"SPRING","2760200 SPRING","DROP","4261","3891","Barrens","3.99","1.05"
"SPRING","1080091 SPRING","DROP","4261","4781","Barrens","4.99","2.89"
"SQUEEGEE FIXED HANDLE QUICKSILVER CHANNEL","Complete Squeegee w/ Fixed Handle & Quicksilver Channel - 18""","KEEP","SORBO-SQ18-FXD","SORBO-SQ18-FXD","Tucker","30.82","21.58"
