"Family","RowCount","Has1Gal","Has5Gal","Has55Gal"
"1 4 MEG SURFACECLEANER NOZZLE 6 0 GPM 15 DEGREE 15060","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 6 0 GPM 25 DEGREE 25060","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 6 0 GPM 40 DEGREE 40060","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 6 5 GPM 15 DEGREE 15065","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 6 5 GPM 25 DEGREE 25065","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 6 5 GPM 40 DEGREE 40065","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 7 0 GPM 0 DEGREE 00070","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 7 0 GPM 15 DEGREE 15070","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 7 0 GPM 25 DEGREE 25070","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 7 0 GPM 40 DEGREE 40070","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 7 5 GPM 0 DEGREE 00075","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 7 5 GPM 15 DEGREE 15075","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 7 5 GPM 25 DEGREE 25075","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 7 5 GPM 40 DEGREE 40075","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 8 0 GPM 0 DEGREE 00080","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 8 0 GPM 15 DEGREE 15080","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 8 0 GPM 25 DEGREE 25080","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 8 0 GPM 40 DEGREE 40080","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 9 0 GPM 0 DEGREE 00090","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 9 0 GPM 15 DEGREE 15090","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 9 0 GPM 25 DEGREE 25090","1","False","False","False"
"1 4 MEG SURFACECLEANER NOZZLE 9 0 GPM 40 DEGREE 40090","1","False","False","False"
"1 4 MPT NOZZLE 25 DEGREE 60 GPM","1","False","False","False"
"1 4 MPT SS SOCKET 4629 SINGLE","1","False","False","False"
"1 8 MPT 4 0 40 DEG NOZZLE","1","False","False","False"
"1 8 MPT 5 0 40 DEG NOZZLE","1","False","False","False"
"1 8 MPT 6 5 25 DEG NOZZLE","1","False","False","False"
"1 8 MPT 6540 BRASS SOAPER NOZZLE","1","False","False","False"
"1 8 MPT 7 0 25 DEG NOZZLE","1","False","False","False"
"1 8 MPT 7 5 25 DEG NOZZLE","1","False","False","False"
"1 8 MPT 8 0 25 DEG NOZZLE","1","False","False","False"
"1 BANJO T STRAINER 80 MESH","1","False","False","False"
"1 BLACK UNISEAL PIPE TO TANK SEAL","1","False","False","False"
"1 K URETHANE FIVE","1","False","False","False"
"1 M X 1 2 F REDUCER HEX BUSHING","1","False","False","False"
"1 PIECE HANDLE BRACKET FOR CLASSIC","1","False","False","False"
"1 SS FXF SPRING CHECK VALVE","1","False","False","False"
"1 SS ROCK CATCHER FOR GRACO PAINT SPRAYER","1","False","False","False"
"10 ST 3600 21 GPM 8700 PSI S S SPRAY GUN 1 2 FP","1","False","False","False"
"10 WAND PIPE 24 STAINLESS STEEL","1","False","False","False"
"100 131 394018 AIR CLEANER FOR BRIGGS VANGUARD","1","False","False","False"
"100 4 CLEAR VINYL HOSE W DETERGENT FILTER","1","False","False","False"
"100 743 272490 PRECLEANER FILTER FOR 394018","1","False","False","False"
"100145 GP SOAP SHOOTER 4 0","1","False","False","False"
"100146 GP SOAP SHOOTER 4 5","1","False","False","False"
"100147 GP SOAP SHOOTER 5 0","1","False","False","False"
"11 0 GPM 300 PSI GAS SOFT WASH UNIT WITH HONDA GX200 ENGINE AND COMET P40 DIAPHRAGM PUMP","1","False","False","False"
"12 10 SOFT ORANGE WASH BRUSH FOR ACID CLEANING","1","False","False","False"
"12 ALU SS FULL","1","False","False","False"
"12 ALU SS U REEL","1","False","False","False"
"12 ALUMINUM FULL FRAME HOSE REEL WITH 1 2 STAINLESS MANIFOLD ELECTRIC","1","False","False","False"
"12 FULL FRAME SS TITAN HOSE REEL","1","False","False","False"
"12 GP 20 FLAT SURFACE CLEANER 8GPM 4000PSI","1","False","False","False"
"12 STEEL BLACK POWDER COATED REEL FULL FRAME","1","False","False","False"
"12 VOLT MOTOR FOR ELECTRIC REELS","1","False","False","False"
"12 YU21405 UNLOADER 21GPM 4500PSI GREEN SPRING","1","False","False","False"
"15 DCG4000FSC COMPENSATING SPRAYGUN FOR NEW STYLE","1","False","False","False"
"15 DELUXIFIED GROUND FORCE 24 SURF CLEAN W CAST","1","False","False","False"
"15 X JET DS TWIST ADJ SOAPER NOZZLE 2 3 GPM","1","False","False","False"
"15 X JET DS TWIST ADJ SOAPER NOZZLE 3 7 GPM","1","False","False","False"
"15 X JET DS TWIST ADJ SOAPER NOZZLE 7 12 GPM","1","False","False","False"
"150 STAINLESS STEEL HOSE REEL GUIDE","1","False","False","False"
"16 DETERGENT HOSE ASSY COMPLETE","1","False","False","False"
"16 GALLON LOAF TANK 20 W X 14 T 17 L","1","False","False","False"
"16 MANATEE OIL DRAIN HOSE FOR ALL PUMPS GEARBOXES","1","False","False","False"
"16 ROTARY ARM WHIRL A WAY","1","False","False","False"
"16 ULTRA CLEAN SURFACE CLEANER","1","False","False","False"
"16 WHIRL A WAY FLOAT ABS COVER","1","False","False","False"
"16 X 2 VELCRO STRIP SINGLE STRIP","1","False","False","False"
"16OZ WINDOW MAULER","1","False","False","False"
"18 ALU SS FULL REEL","1","False","False","False"
"18 ALU SS U REEL","1","False","False","False"
"18 BLACK POWDER COATED REEL FULL FRAME","1","False","False","False"
"18 ELECTRIC SS ALU TITAN REEL","1","False","False","False"
"18 FULL FRAME ALL STAINLESS","1","False","False","False"
"1K URETHANE GALLON","1","False","False","False"
"1K URETHANE SPRAYER","1","False","False","False"
"2 5IN X 10IN CARBON FILTER","1","False","False","False"
"2 TIP BAR FOR 30 FL PH 750 MOSMATIC SURFACE CLEANER 1 4","1","False","False","False"
"2 X10 VELCRO STRIP SINGLE STRIP","1","False","False","False"
"20 DELUXIFIED CLASSIC 19 SURFACE CLEANER","1","False","False","False"
"20 ML954 SAFETY ORANGE EZ ACID 12GPM 5000PSI","1","False","False","False"
"20 ML954 SFTY ORANGE SWIVEL EZ ACID 12GPM 5K PSI","1","False","False","False"
"20 MOSMATIC SURFACE CLEANER COVER PSI SS","1","False","False","False"
"20 ULTRA CLEAN 16 ROTARY CLEANER","1","False","False","False"
"20 ULTRA CLEAN 19 ROTARY CLEANER W WHEELS","1","False","False","False"
"20 WHIRL A WAY ROTARY ARM","1","False","False","False"
"20 WHIRL A WAY SURFACE CLEANER","1","False","False","False"
"20 WHIRL A WAY YELLOW COVER","1","False","False","False"
"200 QC SOCKET 3 8 MNPT BRASS","1","False","False","False"
