"NameKey","ItemName","Action","KeptSku","SKU","Price","DefaultUnitCost","DescriptionLength","Vendor"
"1 2 SWIVEL STEM X 1 2 MPT FITTING","1/2"" SWIVEL STEM X 1/2"" MPT FITTING","KEEP","2865","2865","12.99","9.22","35","Barrens"
"1 2 TO 1 1 4 HOSE CLAMP SS","1/2"" to 1 1/4"" Hose Clamp SS","KEEP","600012","600012","2.25","1.75","39","MPWSR"
"1 2 VITON O RING SINGLE","1/2"" Viton O-Ring (Single)","KEEP","39.0033-1","39.0033-1","1.00","0.75","26","MPWSR"
"1 2 WHITE NYLON HEX HEAD PLUG","1/2 WHITE NYLON HEX HEAD PLUG","KEEP","28604W","28604W","1.99","1.49","37","MPWSR"
"1 2 X 1 1 2 PVC NIPPLE SCDL 80","1/2 X 1-1/2 PVC NIPPLE SCDL-80","KEEP","55061","55061","1.00","0.73","30","MPWSR"
"1 2 X 1 2 BRASS RISER","1/2"" X 1/2"" Brass RISER","KEEP","63045","63045","7.56","5.30","72","Tucker"
"1 2 X 1 2 POHB X MIP SWIVEL ADPT","1/2 X 1/2 POHB X MIP SWIVEL ADPT","KEEP","30389","30389","6.30","4.40","32","MPWSR"
"1 2 X 1 2 PTF 90DEG ELBOW","1/2 x 1/2 PTF 90deg Elbow","KEEP","62018","62018","15.82","11.08","108","Tucker"
"1 2 X 1 2 TEE W 1 4 FEMALE THREAD","1/2 x 1/2 Tee w/ 1/4 female thread","KEEP","62005-TH","62005-TH","9.57","6.70","162","Tucker"
"1 2 X 1 4 HEX BUSHING","1/2 x 1/4 Hex Bushing","KEEP","63018","63018","2.40","1.68","70","Tucker"
"1 2 X 2 5 SS LONG NIPPLE","1/2 x 2.5 "" SS Long Nipple","KEEP","MPWSR-1-2-X-2-5-SS-LONG-NIPPLE","MPWSR-1-2-X-2-5-SS-LONG-NIPPLE","7.30","5.50","26","MPWSR"
"1 2 X 2 SCH 80 NIPPLE","1/2 X 2"" Sch 80 Nipple","KEEP","55062","55062","1.00","0.79","36","MPWSR"
"1 2 X 3 316 SS NIPPLE","1/2 X 3 316 SS NIPPLE","KEEP","49064","49064","8.10","6.48","21","MPWSR"
"1 2 X 3 8 HEX NIPPLE","1/2 X 3/8 HEX NIPPLE","KEEP","540486","540486","3.79","2.57","20","MPWSR"
"1 2 X 3 8 NPT ADAPTER FOR ALL WB COMPRESSORS","1/2"" X 3/8"" NPT ADAPTER FOR ALL WB COMPRESSORS","KEEP","42.011.021","42.011.021","10.99","7.10","46","BE"
"1 2 X 3 8 PTF TEE","1/2 x 3/8 PTF Tee","KEEP","62005","62005","9.57","6.70","70","Tucker"
"1 2 X 4 316 SS NIPPLE","1/2 X 4 316 SS NIPPLE","KEEP","49066","49066","9.90","7.90","21","MPWSR"
"1 2 X 4 SCHEDULE 80 NIPPLE","1/2"" x 4"" Schedule 80 Nipple","KEEP","55066","55066","1.60","0.95","28","MPWSR"
"1 2 X 6 BRASS NIPPLE","1/2"" X 6"" BRASS NIPPLE","KEEP","40070","40070","15.40","12.31","81","MPWSR"
"1 2 X CLOSE SCH 80 NIPPLE","1/2 X Close Sch 80 Nipple","KEEP","55060","55060","1.00","0.72","25","MPWSR"
"1 2 X100 PVC CLEARBRAID HOSE","1/2""x100' PVC CLEARBRAID HOSE","KEEP","2911","2911","102.99","77.79","29","Barrens"
"1 2 X150 KURI PVC ORANGE AG HOSE 600PSI","1/2""x150' KURI PVC ORANGE AG HOSE 600PSI","KEEP","4484","4484","254.99","198.60","40","Barrens"
"1 2 X25 PVC CLEARBRAID HOSE","1/2""x25' PVC CLEARBRAID HOSE","KEEP","2909","2909","28.99","21.45","28","Barrens"
"1 2 X300 KURI PVC ORANGE AG HOSE 600PSI SERIES K","1/2""x300' KURI PVC ORANGE AG HOSE 600PSI (SERIES K","KEEP","3667","3667","489.00","383.30","50","Barrens"
"1 2 X300 PVC CLEARBRAID HOSE","1/2""x300' PVC CLEARBRAID HOSE","KEEP","2553","2553","304.99","234.50","29","Barrens"
"1 2 X50 PVC CLEARBRAID HOSE","1/2""x50' PVC CLEARBRAID HOSE","KEEP","2910","2910","57.99","42.85","28","Barrens"
"1 2 Y DIVIDER","1/2 Y Divider","KEEP","62007","62007","8.89","6.23","133","Tucker"
"1 2IN BRASS THREADED COUPLING","1/2in Brass Threaded Coupling","KEEP","63028","63028","4.79","3.35","78","Tucker"
"1 2IN MALE THREAD X 1 2IN PTF ELBOW","1/2in male thread x 1/2in PTF Elbow","KEEP","62010","62010","11.29","7.90","88","Tucker"
"1 2IN O RING FOR RO MEMBRANES","1/2in O-Ring for RO Membranes","KEEP","21010","21010","0.41","0.29","89","Tucker"
