Created by Square,Example item,Example item name for customers to see,Small,Ounce 1.000,A12345,100% organic soft cotton t-shirt,"Separate multiple categories with a comma. Indicate subcategories by including their category hierarchy with the greater-than symbol. For example: New arrivals, Women’s > Accessories > Hats & Beanies",Sales of this item will be attributed to the Reporting Category in the category sales report.,Search engine display name,Search engine description,Identifier within a URL. Use hyphens instead of spaces.,653412483659,"Visible, Hidden, Unavailable","Physical, Prepared food and beverage, Digital, Donation, Event, Membership, Other",,Social media link title,Social media link description,,,,,24.99,20.99,Y or N,Y or N,Y or N,Y or N,Y or N,Sizes,Small,12.99,KT's Clothes,ABC123,Y or N,10,15,Y or N,5,$10.99,Y or N,10,15,Y or N,5,$10.99
Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
YE7Y4U5YVEACIAMUDR2DY5SK,"5/16"" 5-Way PTF Divider",,Regular,,60007-5,,,,,,,,Hidden,Physical good,,,,N,N,N,Y,8.50,,Y,,N,,,,,6.00,,,Y,4,,,,,N,0,,,,
YS5I4WEH4ZWVDIE72D5TQOGQ,"5/16"" OD Tucker® Pole Hose","5/16"" OD Tucker® Pole Hose",Regular,,"5/16""-OD-TUCKER®-POLE-HOSE",,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,,,,,,,,235.41,,Y,,,,N,,,64.34,Tucker,"5/16""-OD-TUCKER®-POLE-HOSE",N,0,,N,0,,Y,0,,N,0,235.41
4BRTGYKDZL7UHH6ATJBM5JGJ,50 Gallon Delivery System Dual User,Tucker® Fill N Go Delivery Dual User,Regular,,T-50-DEL-DU,,"Tucker, Tucker > Pure Water Systems",Tucker,,,,,Hidden,Physical good,170.001,,,,,,,4835.34,,Y,,,,N,,,3384.74,Tucker,T-50-DEL-DU,N,0,,N,0,,Y,0,,N,0,4835.34
YKCLQBPVIO3CN5ZUUCABV45C,50 Gallon Delivery System Single User,Tucker® Fill N Go Delivery Single User,Regular,,T-50-DEL-SU,,"Tucker, Tucker > Pure Water Systems",Tucker,,,,,Hidden,Physical good,99.999,,,,,,,4358.38,,Y,,,,N,,,3050.87,Tucker,T-50-DEL-SU,N,0,,N,0,,Y,0,,N,0,4358.38
VWJRM4OJQSHOFYUBSIJKPO7Q,50 gallon Tank,50 gallon Tank,Regular,,TANK,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,,,,,,,,299.29,,Y,Y,,Y,N,,,209.51,Tucker,TANK,N,0,,N,0,,Y,0,,N,0,299.29
DI4GB62XEFVSAIMUW6IEI5WY,50' HM BARE POLE (no tips included),Tucker® - 50 HM Water Fed Pole - Bare,Regular,,T-50HM-BARE,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,14.251,,,,,,,1829.98,,Y,,,,N,,,1280.99,Tucker,T-50HM-BARE,N,0,,N,0,,Y,0,,N,0,1829.98
GX6KUYBJUBH4O2SJJM3IRBXH,5011- Quick Change Nozzle - 15 Degree - 8GPM,,Regular,,5011,Quick Change Nozzle - 15 Degree - 8GPM,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,8.75,,Y,,,,,,,3.71,,,Y,13,,Y,0,,N,0,,,,
SO3HQ5U3NQ6SKD54FOHWMHMJ,5030- 3/8 x 45 Degree FPT,,Regular,,5030,3/8 x 45 Degree FPT,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,9.75,,Y,,,,,,,4.92,,,Y,3,,Y,0,,N,0,,,,
NLVB2EOHRMXJ6GI5X6BTHT2L,5187- 1/8 MPT  25025,,Regular,,5187,1/8 MPT 25025,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,6.75,,Y,,,,,,,3.34,,,Y,20,,Y,0,,N,0,,,,
SWCHTACERFYLY7OU77O7JUTT,5200- Hex Nipple 1/4 MPT,,Regular,,5200,Hex Nipple 1/4 MPT,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,15.75,,Y,,,,,,,7.40,,,Y,0,,Y,0,,N,0,,,,
VXRNNNKRN56R23KW75KPHVRZ,"5203- Hex Bushing 3/8"" MPT x 1/4"" FPT",,Regular,,5203,"Hex Bushing 3/8"" MPT x 1/4"" FPT",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,9.75,,Y,,,,,,,4.29,,,Y,7,,Y,0,,N,0,,,,
PCDU4RK5LHUQXQ3V64PPAJDQ,"5204- Hex Bushing 1/2"" MPT x 3/8"" FPT",,Regular,,5204,"Hex Bushing 1/2"" MPT x 3/8"" FPT",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,12.75,,Y,,,,,,,7.27,,,Y,9,,Y,0,,N,0,,,,
S2HUUJIABUM4JZDV42GMJ2KP,"5221- 1/4"" x 1.5"" MPT X MPT Nipple",,Regular,,5221,"1/4"" x 1.5"" MPT X MPT Nipple",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,7.75,,Y,,,,,,,3.05,,,Y,16,,Y,0,,N,0,,,,
UKHZVVPF57G3JU2FFOLURPZP,"5268- 1/4"" MPT Nozzle 25 Degree 2 gpm",,Regular,,5268,"1/4"" MPT Stainless Steel Nozzle 25 Degree 2 gpm",Parts,Parts,,,,,Hidden,Physical good,,,,,,N,N,6.75,,Y,,,,,,,3.71,,,Y,0,,Y,0,,N,0,,,,
FNWDOKPRHOAFNIMYUO3IW4XH,"5331- Whisper Wash 19"" Spray Bar 2 tip - Classic",,Regular,,5331,"Whisper Wash 19"" Spray Bar 2 tip - Classic",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,95.75,,Y,,,,,,,69.92,,,Y,1,,Y,0,,N,0,,,,
T5L4ILU7PHG5JWAFKRNMLTRD,5337- WW312 Series 3 Swivel,,Regular,,5337,WW312 Series 3 Swivel,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,435.75,,Y,,,,,,,392.44,,,Y,0,,Y,0,,N,0,,,,
UC6ICUJW5ZUS2VYRNFF4BG7W,5338- Rebuild Kit for WW312 Swivel,,Regular,,5338,Rebuild Kit for WW312 Swivel,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,265.75,,Y,,,,,,,207.76,,,Y,3,,Y,0,,N,0,,,,
ABGUOFXLXCZZCUKEYRBASX33,5344- Cox 439 Reel Swivel,,Regular,,5344,Cox 439 Reel Swivel,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,115.75,,Y,,N,,,,,91.45,,,Y,4,,Y,0,,N,0,,,,
YLT5PEBR4MHKAWOQ33NNGXTN,"5362- 4000 PSI Whip Line 3/8"" x 6'",,Regular,,5362,"4000 PSI Whip Line 3/8"" x 6'",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,38.75,,Y,,N,,,,,24.66,,,Y,0,,Y,0,,N,0,,,,
EWBVNY2Z3KFHE7USU4EKQ4EF,55' pole kit,Tucker® 55' Water Fed Pole Kit,Regular,,T-55-KIT,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,11.001,,,,,,,2273.91,,Y,,,,N,,,1591.74,Tucker,T-55-KIT,N,0,,N,0,,Y,0,,N,0,2273.91
JWBTE3T6F4KWN2BKSCTXH44X,55' pole kit,Tucker® 55' Water Fed Pole Kit,Regular,,T-55-KIT,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,11.001,,,,,,,2273.91,,Y,,,,N,,,1591.74,Tucker,T-55-KIT,N,0,,N,0,,Y,0,,N,0,2273.91
GSPTVUCXAGONU54LV4T546AC,"5656- 1/4"" MPT Nozzle 25 Degree 3.0 gpm",,Regular,,5656,"1/4"" MPT Stainless Steel Nozzle 25 Degree 3.0 gpm",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,6.75,,Y,,N,,,,,3.34,,,Y,0,,Y,0,,N,0,,,,
FPWY673OGJIN3RN2T5OIZYPL,"5747- Hex Bushing 1/2"" MPT x 1/4"" FPT",,Regular,,5747,"Hex Bushing 1/2"" MPT x 1/4"" FPT",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,14.75,,Y,,,,,,,7.27,,,Y,10,,Y,0,,N,0,,,,
7BR2DDVTQHAWMIFOPSA5OY2L,"5748- Hex Bushing 3/4"" MPT x 3/8"" FPT",,Regular,,5748,"Hex Bushing 3/4"" MPT x 3/8"" FPT",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,12.75,,Y,,,,,,,7.47,,,Y,5,,Y,0,,N,0,,,,
KXMJ25OHE2PQ4PFYZNYYFHYQ,"5750- Hex Bushing 3/4"" MPT x 1/2"" FPT",,Regular,,5750,"Hex Bushing 3/4"" MPT x 1/2"" FPT",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,11.75,,Y,,,,,,,7.88,,,Y,4,,Y,0,,N,0,,,,
LRZXOEQOCSE2YZUH2M2KLABE,"5771- 1/4"" x 2.5"" MPT X MPT Nipple",,Regular,,5771,"1/4"" x 2.5"" MPT X MPT Nipple",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,10.75,,Y,,,,,,,4.66,,,Y,5,,Y,0,,N,0,,,,
DT5LHSH4E3MWHRBOGAGCMW55,"5788- Hex Bushing 3/4"" MPT x 1/4"" FPT",,Regular,,5788,"Hex Bushing 3/4"" MPT x 1/4"" FPT",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,10.75,,Y,,,,,,,4.69,,,Y,6,,Y,0,,N,0,,,,
MCAWS7N2AACVDKENXKBR7T6B,"5841- 1/4"" MPT Nozzle 25 Degree 2.0 gpm",,Regular,,5841,"1/4"" MPT Stainless Steel Nozzle 25 Degree 2.0 gpm",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,6.75,,Y,,,,,,,3.34,,,Y,0,,Y,0,,N,0,,,,
TA4LUKADKZPQHBJR4BIKSJTD,5844- Garden Hose Coupling - MGH x MGH  3/4 x 3/4,,Regular,,5844,Garden Hose Coupling - MGH x MGH 3/4 x 3/4,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,7.75,,Y,,N,,,,,2.89,,,Y,0,,Y,0,,N,0,,,,
VS7LWWUVILRDBI7QOGUNUTQD,"5846- 1/4"" MPT Nozzle 25 Degree 2.5 gpm",,Regular,,5846,"1/4"" MPT Stainless Steel Nozzle 25 Degree 2.5 gpm",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,6.75,,Y,,,,,,,3.34,,,Y,0,,Y,0,,N,0,,,,
HUZ5ZNYKM6AGHL22OI4UOZOC,"5850- 1/4"" MPT Nozzle 25 Degree 4 gpm",,Regular,,5850,"1/4"" MPT Stainless Steel Nozzle 25 Degree 4 gpm",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,6.75,,Y,,,,,,,3.34,,,Y,0,,Y,0,,N,0,,,,
6Z6XXMJLFJDG4VZQYGTVGPS3,"5851- 1/4"" MPT Nozzle 25 Degree 4.5 gpm",,Regular,,5851,"1/4"" MPT Stainless Steel Nozzle 25 Degree 4.5 gpm",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,6.75,,Y,,,,,,,3.34,,,Y,0,,Y,0,,N,0,,,,
PVE7P7W3SC6VHSRFTVCVXXCI,"5852- 1/4"" MPT Nozzle 25 Degree 5 gpm",,Regular,,5852,"1/4"" MPT Stainless Steel Nozzle 25 Degree 5 gpm",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,6.75,,Y,,,,,,,3.34,,,Y,0,,Y,0,,N,0,,,,
HX3TRL26ZXJSVHPWFFHDQDF5,5871- GP Pressure Relief Valve 1000-60000 PSI 3/8 MPT,,Regular,,5871,GP Pressure Relief Valve 1000-60000 PSI 3/8 MPT,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,25.75,,Y,,,,,,,18.77,,,Y,0,,Y,0,,N,0,,,,
OZE2TBQ2HOOBVHYBUJASYHXK,5893- 4000 PSI Whip Line Connector,,Regular,,5893,4000 PSI Whip Line Connector,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,31.75,,Y,,,,,,,19.95,,,Y,0,,Y,0,,N,0,,,,
N37HRM7UBPKUCIE6HQVTYPU5,"5894- 4000 PSI Whip Line 3/8"" x 4'",,Regular,,5894,"4000 PSI Whip Line 3/8"" x 4'",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,32.75,,Y,,N,,,,,21.64,,,Y,0,,Y,0,,N,0,,,,
5Z5T7MPCLHG3TQGKLG657UMH,"5907- 4000 PSI Whip Line 3/8"" x 5'",,Regular,,5907,"4000 PSI Whip Line 3/8"" x 5'",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,34.75,,Y,,N,,,,,24.21,,,Y,0,,Y,0,,N,0,,,,
MNIJSPGMQ5KJQOTSQO5YBIVL,"5979- Cox 439-1 Swivel Repair Kit (1/2"")",,Regular,,5979,"Cox 439-1 Swivel Repair Kit (1/2"")",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,14.75,,Y,,,,,,,6.25,,,Y,-2,,Y,0,,N,0,,,,
ATNXJPFYKIRPIRV3YUOLK3DC,"6 x 9"" walnut pad","6 x 9"" walnut pad",,,40018,"6 x 9"" walnut pad | Official Tucker SKU: 40018 | Category: Catalog","Tucker, Tucker > Catalog",Tucker,"6 x 9"" walnut pad | Catalog | AZ Cleaning Supplies","6 x 9"" walnut pad. Category: Catalog. Vendor code: 40018. Available at AZ Cleaning Supplies.",6-x-9-walnut-pad,,Hidden,Physical good,,"6 x 9"" walnut pad | Catalog | AZ Cleaning Supplies","6 x 9"" walnut pad. Category: Catalog. Vendor code: 40018. Available at AZ Cleaning Supplies.",N,N,N,N,5.10,,Y,,N,,,,,,,,Y,0,,,,,N,0,,,,
GNTSVXBHJHI2K6OFFENBXK25,"6 x 9"" walnut pad","6 x 9"" walnut pad",Regular,,TUCKER-6-X-9-WALNUT-PAD,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,,,,,,,,2.27,,Y,,,,,,,1.59,Tucker,40018,N,0,,N,0,,Y,0,,N,0,2.27
HTSJ5RGSOMKUOTFQPA2OKFBY,"6"" Quicksilver Channel 90 degree w/ end clips","6"" Quicksilver Channel 90 degree w/ end clips",Regular,,SORBO-S1261,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,,,,,,,,10.52,,Y,Y,,Y,N,,,7.37,Tucker,SORBO-S1261,N,0,,N,0,,Y,0,,N,0,10.52
4BZA66BHDWEOWP542HJJMMKL,60' pole kit,Tucker® 60' Water Fed Pole Kit,Regular,,T-60-KIT,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,12,,,,,,,2526.63,,Y,,,,N,,,1768.65,Tucker,T-60-KIT,N,0,,N,0,,Y,0,,N,0,2526.63
FI75MUYUQIR5PTXLPXEGG5SB,60' pole kit,Tucker® 60' Water Fed Pole Kit,Regular,,T-60-KIT,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,12,,,,,,,2526.63,,Y,,,,N,,,1768.65,Tucker,T-60-KIT,N,0,,N,0,,Y,0,,N,0,2526.63
5W3M6ZRSXVI2BIRVHDEFF7UW,6156- MecLine Adjustable chemical injector 2.3mm 5-8 GPM,,Regular,,6156,MecLine Adjustable chemical injector 2.3mm 5-8 GPM,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,25.75,,Y,,,,,,,15.57,,,Y,0,,Y,0,,N,0,,,,
LPY6PI4IGYAON5NCHPQIKCU7,6168- Mosmatic 3/8FPT x 3/8MPT DYC Swivel 55.153,,Regular,,6168,Mosmatic 3/8FPT x 3/8MPT DYC Swivel 55.153,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,375.75,,Y,,,,,,,266.83,,,Y,-1,,Y,0,,N,0,,,,
ZZGVOZ5DN6D45KO3IEZ4DJ66,6244- In- Line Swivel 3/8 F x 3/8 M,,Regular,,6244,In- Line Swivel 3/8 F x 3/8 M,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,24.75,,Y,,N,,,,,15.23,,,Y,-2,,Y,0,,N,0,,,,
6LKZL7JKUSWRTNUX367YLTQ5,6292- DN10 Heavy Duty Nickel Plated Brass Ball Valve 3/8,,Regular,,6292,DN10 Heavy Duty Nickel Plated Brass Ball Valve 3/8,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,50.00,,Y,,N,,,,,39.46,,,Y,-20,,Y,0,,N,0,,,,
4NGALBPFJSMFARZQMVBLDWRV,"6329- Whisper Wash Classic 19"" 4-10gpm / 2000 -4000psi / 212 Deg F Max",,Regular,,6329,"Whisper Wash Classic 19"" 4-10gpm / 2000 -4000psi / 212 Deg F Max",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,1055.75,,Y,,,,,,,861.91,,,Y,-1,,Y,0,,N,0,,,,
5XDYTWDREE5F63YF53ZYZUL3,6382- Mosmatic DYC Swivel,,Regular,,6382,Mosmatic DYC Replacement Swivel,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,330.75,,Y,,,,,,,266.83,,,Y,0,,Y,0,,N,0,,,,
D7E5ZT3LSLAO5K4MIX7SC3OQ,6401- Stainless Steel Plug - 1/4FPT,,Regular,,6401,Stainless Steel Plug - 1/4FPT,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,5.75,,Y,,,,,,,3.12,,,Y,15,,Y,0,,N,0,,,,
27BSZ5EVLYJMERA32ZB5Q5FY,"6441- 1/4"" MPT Nozzle 15 Degree 3.5 gpm",,Regular,,6441,"1/4"" MPT Stainless Steel Nozzle 15 Degree 3.5 gpm",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,5.75,,Y,,,,,,,3.34,,,Y,0,,Y,0,,N,0,,,,
AWJWN4LE5UPA7LPBXKVRN5AL,6456- ST456 Turbo Nozzle 4.0 gpm,,Regular,,6456,ST456 Turbo Nozzle 4.0 gpm,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,105.75,,Y,,,,,,,79.06,,,Y,2,,Y,0,,N,0,,,,
CSZRV7GIJLSXVEBRSM5MEKDF,6467- ST456 Turbo Nozzle 5.5gpm,,Regular,,6467,ST456 Turbo Nozzle 5.5gpm,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,105.75,,Y,,,,,,,79.06,,,Y,0,,Y,0,,N,0,,,,
FSGGRQG5F67H3EM2URZBJ6GR,"6494- Mosmatic Turbo Rotor Arms 18""",,Regular,,6494,"Mosmatic Turbo Rotor Arms 18""",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,145.75,,Y,,,,,,,102.58,,,Y,0,,Y,0,,N,0,,,,
6ITAAE3GF6TGW7KF5AFE7H3E,65' pole kit,Tucker® 65' Water Fed Pole Kit,Regular,,T-65-KIT,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,13.001,,,,,,,2779.36,,Y,,,,N,,,1945.55,Tucker,T-65-KIT,N,0,,N,0,,Y,0,,N,0,2779.36
QH7HPNHKBFLPMKPWFELOPCOV,65' pole kit,Tucker® 65' Water Fed Pole Kit,Regular,,T-65-KIT,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,13.001,,,,,,,2779.36,,Y,,,,N,,,1945.55,Tucker,T-65-KIT,N,0,,N,0,,Y,0,,N,0,2779.36
5M5ZE6ECVPAYDX25YOVZXXOU,"6521- 1/4"" MPT Nozzle 25 Degree 3.5 gpm",,Regular,,6521,"1/4"" MPT Stainless Steel Nozzle 25 Degree 3.5 gpm",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,6.75,,Y,,,,,,,3.34,,,Y,0,,Y,0,,N,0,,,,
427DOUCWY2CX4QF355ESXANV,6612- Mosmatic Swivel Conversion Kit,,Regular,,6612,Mosmatic Swivel Conversion Kit,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,80.75,,Y,,,,,,,67.30,,,Y,0,,Y,0,,N,0,,,,
SZRRMUXARMLKPOMM7C3RTNIY,6626- Super Swivel 90 Deg  1/2 FPT x 3/8 FPT 5000psi 400d  Deg F. Max,,Regular,,6626,Super Swivel 90 Deg 1/2 FPT x 3/8 FPT 5000psi 400d Deg F. Max,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,110.75,,Y,,N,,,,,76.00,,,Y,0,,Y,0,,N,0,,,,
DN6O52QZTYEYGZHI635ZXB2S,6711- Viton QC 3/8 O-Ring 25ct,,Regular,,6711,Viton QC 3/8 O-Ring 25ct,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,25.75,,Y,,,,,,,14.04,,,Y,0,,Y,0,,N,0,,,,
JKENU3GGKWEGSSNVXGDWXFWO,6922- Mosmatic DYF Swivel,,Regular,,6922,Mosmatic DYF Swivel,Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,290.00,,Y,,,,,,,231.40,,,Y,0,,Y,0,,N,0,,,,
KH4JBZZUQODEWYW4ISKPIEHM,"6987- Rupture Disk 1/2"" Inlet - 3/8 Outlet 7000PSI 225 Degrees F",,Regular,,6987,"Rupture Disk 1/2"" Inlet - 3/8 Outlet 7000PSI 225 Degrees F",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,64.75,,Y,,N,,,,,49.30,,,Y,-1,,Y,0,,N,0,,,,
ELMEDQ2777WJJJ7IMAWKSNYB,70' pole kit,Tucker® 70' Water Fed Pole Kit,Regular,,T-70-KIT,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,45.001,,,,,,,3032.08,,Y,,,,N,,,2122.46,Tucker,T-70-KIT,N,0,,N,0,,Y,0,,N,0,3032.08
M2Y55MJPSBUCQOSW4PNYPB4H,70' pole kit,Tucker® 70' Water Fed Pole Kit,Regular,,T-70-KIT,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,45.001,,,,,,,3032.08,,Y,,,,N,,,2122.46,Tucker,T-70-KIT,N,0,,N,0,,Y,0,,N,0,3032.08
FMWRM2R2BJC4JP2JSQWCOYCM,"7066- Water Filter 3/4""",,Regular,,7066,"Water Filter 3/4"" FPT - 50 mesh stainless steel mesh screen, EPDM o-ring, polycarbonate bowl, nylon body.",Parts,Parts,,,,,Hidden,Physical good,,,,Y,,,Y,30.75,,Y,,N,,,,,12.04,,,Y,0,,Y,0,,N,0,,,,
VO4YNXEEVJC4AEIDDELJUG3S,77 x 10 Tandem Axle Utility Trailer - No Ramp,77 x 10 Tandem Axle Utility Trailer - No Ramp,Regular,,RCCT-7710TU-7,,"RCCT, RCCT > Trailers",RCCT,,,,,Hidden,Physical good,,,,,,,,3975.00,,Y,Y,,Y,,,,,RCCT,RCCT-7710TU-7,N,0,,N,0,,Y,0,,N,0,3975.00
GCR7URDDFS7H6557SBGMUBQY,Acid Injector 2-3gpm,,Regular,,5398,Acid Injector 2-3gpm,Tools,Tools,,,,,Hidden,Physical good,,,,Y,,,Y,47.75,,Y,,,,,,,23.75,,,Y,0,,Y,0,,N,0,,,,
3GIQVZAKDCYOND5MWZT5QDO5,Acid Injector 3-5 gpm,,Regular,,5421,Acid Injector 3-5 gpm,Tools,Tools,,,,,Hidden,Physical good,,,,Y,,,Y,47.75,,Y,,N,,,,,23.61,,,Y,0,,Y,0,,N,0,,,,
KNNJI7UFULCGC5FDG2NSMKJD,Acid Injector 5-8 gpm,,Regular,,5478,Acid Injector 5-8 gpm,Tools,Tools,,,,,Hidden,Physical good,,,,Y,,,Y,47.75,,Y,,,,,,,23.44,,,Y,0,,Y,0,,N,0,,,,
6YSYNJCCVVDJ7T7ZINYKMP27,"Acid Resistant Wash Brush 10"" - Orange",,Regular,,3305,"Acid Resistant Wash Brush 10"" - Orange",Tools,Tools,,,,,Hidden,Physical good,,,,Y,,,Y,25.75,,Y,,,,,,,15.95,,,Y,3,,Y,0,,N,0,,,,
JXXNOE46IJFAVDWYAISZEHNG,Adjustable Tucker Gooseneck,Adjustable Tucker® Gooseneck V1,Regular,,T-GN-V1,,"Tucker, Tucker > Accessories",Tucker,,,,,Hidden,Physical good,1.001,,,,,,,22.73,,Y,,,,N,,,15.91,Tucker,T-GN-V1,N,0,,N,0,,Y,0,,N,0,22.73
RVQPKCOD7BO25H4XMP6E4IPU,Adjustable Tucker Gooseneck,Adjustable Tucker® Gooseneck V1,Regular,,T-GN-V1,,"Tucker, Tucker > Accessories",Tucker,,,,,Hidden,Physical good,1.001,,,,,,,22.73,,Y,,,,N,,,15.91,Tucker,T-GN-V1,N,0,,N,0,,Y,0,,N,0,22.73
PQIHCQPX2CBQYZVHZCUDGPDT,Adjustable Tucker Gooseneck w/ Quick Release for #1 Clamp,Adjustable Tucker® Gooseneck V2,Regular,,T-GN-V2,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,1.001,,,,,,,22.73,,Y,,,,N,,,15.91,Tucker,T-GN-V2,N,0,,N,0,,Y,0,,N,0,22.73
X4VBHWHXLSJTXNT54QFN2HVO,Adjustable Tucker Gooseneck w/ Quick Release for #1 Clamp,Adjustable Tucker® Gooseneck V2,Regular,,T-GN-V2,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,1.001,,,,,,,22.73,,Y,,,,N,,,15.91,Tucker,T-GN-V2,N,0,,N,0,,Y,0,,N,0,22.73
RAS4KESOSVEFY3AJI4JLSB24,Alpha Scrubber Pads │ 10 Pack Replacements,Alpha Scrubber Pads │ 10 Pack Replacements,Regular,,ALPHA-SCRUBBER-PADS-│-10-PACK-REPLACEMENTS,,"Tucker, Tucker > Catalog",Tucker,,,,,Hidden,Physical good,,,,,,,,13.26,,Y,Y,,Y,,,,11.49,Tucker,ALPHA-SCRUBBER-PADS-│-10-PACK-REPLACEMENTS,N,0,,N,0,,Y,0,,N,0,13.26
34YOZRNE65VBF75Z4VS2B3KI,Aluminum Acme Tip for #1 Clamp,Tucker® ACME Tip,Regular,,T-ACME-TIP-ALUMINUM,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,1.001,,,,,,,11.22,,Y,,,,N,,,7.86,Tucker,T-ACME-TIP-ALUMINUM,N,0,,N,0,,Y,0,,N,0,11.22
4TIRQMWOIGSYKSH6JRAXV2BO,Aluminum Acme Tip for #1 Clamp,Tucker® ACME Tip,Regular,,T-ACME-TIP-ALUMINUM,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,1.001,,,,,,,11.22,,Y,,,,N,,,7.86,Tucker,T-ACME-TIP-ALUMINUM,N,0,,N,0,,Y,0,,N,0,11.22
