Created by Square,Example item,Example item name for customers to see,Small,Ounce 1.000,A12345,100% organic soft cotton t-shirt,"Separate multiple categories with a comma. Indicate subcategories by including their category hierarchy with the greater-than symbol. For example: New arrivals, Women’s > Accessories > Hats & Beanies",Sales of this item will be attributed to the Reporting Category in the category sales report.,Search engine display name,Search engine description,Identifier within a URL. Use hyphens instead of spaces.,653412483659,"Visible, Hidden, Unavailable","Physical, Prepared food and beverage, Digital, Donation, Event, Membership, Other",,Social media link title,Social media link description,,,,,24.99,20.99,Y or N,Y or N,Y or N,Y or N,Y or N,Sizes,Small,12.99,KT's Clothes,ABC123,Y or N,10,15,Y or N,5,$10.99,Y or N,10,15,Y or N,5,$10.99
Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
IZNB7ZD35L2N4MDQSZES34KX,#6 Section for ECO 40w/ Clamp,#6 Section for Tucker®-40,Regular,,T-40-CF-6-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,195.70,,Y,,,,N,,,137.00,Tucker,T-40-CF-6-WC,N,0,,N,0,,Y,0,,N,0,195.70
QFOAHBBY2KMMDAQHJV225FJR,#6 Section for SOLAR BOOSTw/ Clamp,#6 Section for SOLAR BOOSTw/Clamp,Regular,,T-27-CF-6-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,143.67,,Y,,,,N,,,100.57,Tucker,T-27-CF-6-WC,N,0,,N,0,,Y,0,,N,0,143.67
UWZP5L6STGEWPJXAEOPZOW6P,#7 Base Section for ECO 40w/ Clamp,Section #7 for Tucker®-40 Base,Regular,,T-40-FG-7-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,102.90,,Y,,,,N,,,72.03,Tucker,T-40-FG-7-WC,N,0,,N,0,,Y,0,,N,0,102.90
VPHBAQBEKHLJGPL3WBUMRR5N,#7 Base Section for SOLAR BOOSTw/ Clamp,#7 Base Section for SOLAR BOOSTw/Clamp,Regular,,T-27-FG-7-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,90.61,,Y,,,,N,,,63.43,Tucker,T-27-FG-7-WC,N,0,,N,0,,Y,0,,N,0,90.61
KK7PDGQMWSMF6QECFMNP3WG5,#7 Section for 50HMw/ clamp,#7 Section for 50HMw/clamp,Regular,,T-50-HM-7-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,275.56,,Y,,,,N,,,192.90,Tucker,T-50-HM-7-WC,N,0,,N,0,,Y,0,,N,0,275.56
27WVURPI2RXP7BWE3VOSIGTX,#8 Section for 50HMw/ clamp,#8 Section for 50HMw/clamp,Regular,,T-50-HM-8-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,286.81,,Y,,,,N,,,200.77,Tucker,T-50-HM-8-WC,N,0,,N,0,,Y,0,,N,0,286.81
JG74D7C6A2OTK26SHK5ISQ4T,#9 Base Section for 50HMw/ clamp,#9 Base Section for 50HMw/clamp,Regular,,T-50-FG-9-WC,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,2,,,,,,,107.97,,Y,,,,N,,,75.58,Tucker,T-50-FG-9-WC,N,0,,N,0,,Y,0,,N,0,107.97
AWNPMADBRO4MV2UOP6UQFGT5,#9 HM Section for 50' HM w/ clamp,#9 HM Section for 50' HM w/clamp,Regular,,T-9CFWC-50,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,,,,,,,,303.45,,Y,,,,N,,,212.42,Tucker,T-9CFWC-50,N,0,,N,0,,Y,0,,N,0,303.45
NFRHFFD3YX64R55TOPMFKL4O,(BRAVO) Tucker® 22' Hybrid Pole,(BRAVO) Tucker® 22' Hybrid Pole,Regular,,TUCKER-BRAVO,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,10,,,,,,,483.95,,Y,,,,N,,,338.77,Tucker,TUCKER-BRAVO,N,0,,N,0,,Y,0,,N,0,483.95
PMQS55SQ4472HEAIGVLQJNWS,(SIDEKICK) Tucker® 6' TRAD Pole,Tucker® - Sidekick,Regular,,T-SIDEKICK,,"Tucker, Tucker > Water Fed Pole Parts",Tucker,,,,,Hidden,Physical good,3.501,,,,,,,157.45,,Y,,,,N,,,110.22,Tucker,T-SIDEKICK,N,0,,N,0,,Y,0,,N,0,157.45
